D,120,2022-08-16,12:27:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.6,,0.7,14.7
D,120,2022-08-16,12:28:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.7,,0.7,14.7
D,120,2022-08-16,12:29:00,台北標準時間,-56.9,-41.2,-49.1,89.0,84.3,,0.7,14.7
D,120,2022-08-16,12:30:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.9,,0.7,14.7
D,120,2022-08-16,12:31:00,台北標準時間,-56.7,-41.1,-48.9,89.0,85.4,,0.7,14.9
D,120,2022-08-16,12:32:00,台北標準時間,-56.8,-41.1,-49.0,89.0,85.7,,0.7,14.7
D,120,2022-08-16,12:33:00,台北標準時間,-56.7,-41.1,-48.9,89.0,86.1,,0.7,14.7
D,120,2022-08-16,12:34:00,台北標準時間,-56.8,-41.1,-48.9,89.0,84.9,,0.7,14.8
D,120,2022-08-16,12:35:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.5,,0.7,14.7
D,120,2022-08-16,12:36:00,台北標準時間,-56.8,-41.1,-49.0,89.0,84.2,,0.7,14.6
D,120,2022-08-16,12:37:00,台北標準時間,-56.9,-41.2,-49.1,89.0,84.3,,0.7,14.7
D,120,2022-08-16,12:38:00,台北標準時間,-56.8,-41.1,-49.0,89.0,84.9,,0.7,14.7
D,120,2022-08-16,12:39:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.0,,0.7,14.7
D,120,2022-08-16,12:40:00,台北標準時間,-56.6,-40.9,-48.8,89.0,86.2,,0.7,14.7
D,120,2022-08-16,12:41:00,台北標準時間,-56.6,-41.0,-48.8,89.0,86.7,,0.7,14.8
D,120,2022-08-16,12:42:00,台北標準時間,-56.6,-41.0,-48.8,89.0,85.9,,0.7,14.7
D,120,2022-08-16,12:43:00,台北標準時間,-56.6,-40.9,-48.8,89.0,86.1,,0.7,14.6
D,120,2022-08-16,12:44:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.5,,0.7,14.8
D,120,2022-08-16,12:45:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.1,,0.7,14.6
D,120,2022-08-16,12:46:00,台北標準時間,-56.9,-41.1,-49.0,89.0,85.2,,0.7,14.8
D,120,2022-08-16,12:47:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.7,,0.7,14.7
D,120,2022-08-16,12:48:00,台北標準時間,-57.0,-41.2,-49.1,89.0,85.1,,0.7,14.7
D,120,2022-08-16,12:49:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.8,,0.7,14.8
D,120,2022-08-16,12:50:00,台北標準時間,-56.9,-41.1,-49.0,89.0,85.3,,0.7,14.7
D,120,2022-08-16,12:51:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.3,,0.7,14.7
D,120,2022-08-16,12:52:00,台北標準時間,-56.8,-41.1,-49.0,89.0,85.3,,0.7,14.7
D,120,2022-08-16,12:53:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.8,,0.7,14.7
D,120,2022-08-16,12:54:00,台北標準時間,-56.7,-41.0,-48.9,89.0,86.5,,0.7,14.9
D,120,2022-08-16,12:55:00,台北標準時間,-56.7,-40.9,-48.8,89.0,86.1,,0.7,14.8
D,120,2022-08-16,12:56:00,台北標準時間,-56.7,-41.0,-48.9,89.0,86.2,,0.7,14.7
D,120,2022-08-16,12:57:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.8,,0.7,14.7
D,120,2022-08-16,12:58:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.9,,0.7,14.7
D,120,2022-08-16,12:59:00,台北標準時間,-56.7,-41.0,-48.9,89.0,86.1,,0.7,14.7
D,120,2022-08-16,13:00:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.9,,0.7,14.8
D,120,2022-08-16,13:01:00,台北標準時間,-56.7,-40.9,-48.8,89.0,86.1,,0.7,14.7
D,120,2022-08-16,13:02:00,台北標準時間,-56.6,-41.0,-48.8,89.0,85.7,,0.7,14.9
D,120,2022-08-16,13:03:00,台北標準時間,-56.6,-40.9,-48.7,89.0,85.9,,0.7,14.7
D,120,2022-08-16,13:04:00,台北標準時間,-56.4,-40.8,-48.6,89.0,86.1,,0.7,14.7
D,120,2022-08-16,13:05:00,台北標準時間,-56.4,-40.8,-48.6,89.0,85.9,,0.7,14.7
D,120,2022-08-16,13:06:00,台北標準時間,-56.4,-40.7,-48.6,89.0,86.1,,0.7,14.9
D,120,2022-08-16,13:07:00,台北標準時間,-56.4,-40.8,-48.6,89.0,86.3,,0.7,14.7
D,120,2022-08-16,13:08:00,台北標準時間,-56.6,-40.9,-48.7,89.0,85.8,,0.7,14.7
D,120,2022-08-16,13:09:00,台北標準時間,-56.6,-40.9,-48.8,89.0,86.0,,0.7,14.9
D,120,2022-08-16,13:10:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.6,,0.7,14.7
D,120,2022-08-16,13:11:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.9,,0.7,14.7
D,120,2022-08-16,13:12:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.7,,0.7,14.5
D,120,2022-08-16,13:13:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.3,,0.7,14.6
D,120,2022-08-16,13:14:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.4,,0.7,14.7
D,120,2022-08-16,13:15:00,台北標準時間,-56.6,-40.9,-48.8,89.0,86.0,,0.7,14.7
D,120,2022-08-16,13:16:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.4,,0.7,14.7
D,120,2022-08-16,13:17:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.7,,0.7,14.7
D,120,2022-08-16,13:18:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.5,,0.7,14.7
D,120,2022-08-16,13:19:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.3,,0.7,14.8
D,120,2022-08-16,13:20:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.4,,0.7,14.7
D,120,2022-08-16,13:21:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.8,,0.7,14.6
D,120,2022-08-16,13:22:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.5,,0.7,14.6
D,120,2022-08-16,13:23:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.1,,0.7,14.8
D,120,2022-08-16,13:24:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.8,,0.7,14.7
D,120,2022-08-16,13:25:00,台北標準時間,-56.6,-40.9,-48.8,89.0,86.1,,0.7,14.8
D,120,2022-08-16,13:26:00,台北標準時間,-56.5,-40.8,-48.6,89.0,86.8,,0.7,14.7
D,120,2022-08-16,13:27:00,台北標準時間,-56.6,-40.9,-48.7,89.0,86.3,,0.7,14.7
D,120,2022-08-16,13:28:00,台北標準時間,-56.4,-40.8,-48.6,89.0,86.9,,0.7,14.8
D,120,2022-08-16,13:29:00,台北標準時間,-56.5,-40.9,-48.7,89.0,86.7,,0.7,14.8
D,120,2022-08-16,13:30:00,台北標準時間,-56.5,-40.8,-48.6,89.0,86.7,,0.7,14.8
D,120,2022-08-16,13:31:00,台北標準時間,-56.5,-40.8,-48.6,89.0,86.4,,0.7,14.6
D,120,2022-08-16,13:32:00,台北標準時間,-56.5,-40.9,-48.7,89.0,86.2,,0.7,14.7
D,120,2022-08-16,13:33:00,台北標準時間,-56.5,-40.9,-48.7,89.0,86.3,,0.7,14.6
D,120,2022-08-16,13:34:00,台北標準時間,-56.6,-40.9,-48.7,89.0,86.4,,0.7,14.8
D,120,2022-08-16,13:35:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.8,,0.7,14.7
D,120,2022-08-16,13:36:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.2,,0.7,14.7
D,120,2022-08-16,13:37:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.4,,0.7,14.7
D,120,2022-08-16,13:38:00,台北標準時間,-56.9,-41.1,-49.0,89.0,85.1,,0.7,14.7
D,120,2022-08-16,13:39:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.5,,0.7,14.7
D,120,2022-08-16,13:40:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.6,,0.7,14.7
D,120,2022-08-16,13:41:00,台北標準時間,-56.9,-41.0,-48.9,89.0,84.9,,0.7,14.7
D,120,2022-08-16,13:42:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.1,,0.7,14.7
D,120,2022-08-16,13:43:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.6,,0.7,14.6
D,120,2022-08-16,13:44:00,台北標準時間,-56.8,-41.1,-49.0,89.0,84.8,,0.7,14.6
D,120,2022-08-16,13:45:00,台北標準時間,-56.8,-41.1,-49.0,89.0,84.9,,0.7,14.7
D,120,2022-08-16,13:46:00,台北標準時間,-56.8,-41.1,-49.0,89.0,85.2,,0.7,14.7
D,120,2022-08-16,13:47:00,台北標準時間,-56.9,-41.1,-49.0,89.0,85.1,,0.7,14.7
D,120,2022-08-16,13:48:00,台北標準時間,-57.0,-41.1,-49.1,89.0,84.8,,0.7,14.7
D,120,2022-08-16,13:49:00,台北標準時間,-57.0,-41.1,-49.1,89.0,84.2,,0.7,14.7
D,120,2022-08-16,13:50:00,台北標準時間,-57.0,-41.1,-49.1,89.0,84.0,,0.7,14.7
D,120,2022-08-16,13:51:00,台北標準時間,-57.1,-41.2,-49.1,89.0,83.8,,0.7,14.6
D,120,2022-08-16,13:52:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.0,,0.7,14.6
D,120,2022-08-16,13:53:00,台北標準時間,-57.0,-41.1,-49.0,89.0,84.2,,0.7,14.7
D,120,2022-08-16,13:54:00,台北標準時間,-57.0,-41.1,-49.0,89.0,84.5,,0.7,14.7
D,120,2022-08-16,13:55:00,台北標準時間,-57.0,-41.1,-49.0,89.0,84.5,,0.7,14.7
D,120,2022-08-16,13:56:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.3,,0.7,14.6
D,120,2022-08-16,13:57:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.4,,0.7,14.7
D,120,2022-08-16,13:58:00,台北標準時間,-57.1,-41.2,-49.1,89.0,83.9,,0.7,14.7
D,120,2022-08-16,13:59:00,台北標準時間,-57.1,-41.2,-49.2,89.0,84.3,,0.7,14.8
D,120,2022-08-16,14:00:00,台北標準時間,-57.1,-41.3,-49.2,89.0,83.9,,0.7,14.7
D,120,2022-08-16,14:01:00,台北標準時間,-57.0,-41.2,-49.1,89.0,83.8,,0.7,14.7
D,120,2022-08-16,14:02:00,台北標準時間,-57.2,-41.3,-49.2,89.0,83.7,,0.7,14.7
D,120,2022-08-16,14:03:00,台北標準時間,-57.0,-41.1,-49.1,89.0,84.0,,0.7,14.7
D,120,2022-08-16,14:04:00,台北標準時間,-57.0,-41.1,-49.0,89.0,84.6,,0.7,14.7
D,120,2022-08-16,14:05:00,台北標準時間,-57.0,-41.1,-49.1,89.0,84.5,,0.7,14.7
D,120,2022-08-16,14:06:00,台北標準時間,-57.0,-41.1,-49.0,89.0,84.2,,0.7,14.7
D,120,2022-08-16,14:07:00,台北標準時間,-57.0,-41.1,-49.0,89.0,84.4,,0.7,14.7
D,120,2022-08-16,14:08:00,台北標準時間,-57.0,-41.1,-49.1,89.0,84.3,,0.7,14.7
D,120,2022-08-16,14:09:00,台北標準時間,-57.0,-41.1,-49.0,89.0,83.9,,0.7,14.8
D,120,2022-08-16,14:10:00,台北標準時間,-57.0,-41.1,-49.1,89.0,84.1,,0.7,14.7
D,120,2022-08-16,14:11:00,台北標準時間,-57.0,-41.1,-49.1,89.0,83.8,,0.7,14.6
D,120,2022-08-16,14:12:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.5,,0.7,14.7
D,120,2022-08-16,14:13:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.5,,0.7,14.7
D,120,2022-08-16,14:14:00,台北標準時間,-57.0,-41.1,-49.0,89.0,84.5,,0.7,14.7
D,120,2022-08-16,14:15:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.5,,0.7,14.9
D,120,2022-08-16,14:16:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.5,,0.7,14.8
D,120,2022-08-16,14:17:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.8,,0.7,14.7
D,120,2022-08-16,14:18:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.7,,0.7,14.7
D,120,2022-08-16,14:19:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.7,,0.7,14.7
D,120,2022-08-16,14:20:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.2,,0.7,14.6
D,120,2022-08-16,14:21:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.4,,0.7,14.6
D,120,2022-08-16,14:22:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.3,,0.7,14.6
D,120,2022-08-16,14:23:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.3,,0.7,14.8
D,120,2022-08-16,14:24:00,台北標準時間,-56.6,-40.9,-48.7,89.0,85.4,,0.7,14.8
D,120,2022-08-16,14:25:00,台北標準時間,-56.5,-40.9,-48.7,89.0,86.1,,0.7,14.8
D,120,2022-08-16,14:26:00,台北標準時間,-56.5,-40.9,-48.7,89.0,86.0,,0.7,14.7
D,120,2022-08-16,14:27:00,台北標準時間,-56.6,-41.0,-48.8,89.0,85.3,,0.7,14.9
D,120,2022-08-16,14:28:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.2,,0.7,14.8
D,120,2022-08-16,14:29:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.6,,0.7,14.7
D,120,2022-08-16,14:30:00,台北標準時間,-56.8,-41.1,-49.0,89.0,84.5,,0.7,14.6
D,120,2022-08-16,14:31:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.2,,0.7,14.8
D,120,2022-08-16,14:32:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.0,,0.7,14.8
D,120,2022-08-16,14:33:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.3,,0.7,14.7
D,120,2022-08-16,14:34:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.4,,0.7,14.5
D,120,2022-08-16,14:35:00,台北標準時間,-56.6,-40.9,-48.7,89.0,85.6,,0.7,14.8
D,120,2022-08-16,14:36:00,台北標準時間,-56.6,-41.0,-48.8,89.0,85.2,,0.7,14.7
D,120,2022-08-16,14:37:00,台北標準時間,-56.7,-41.0,-48.8,89.0,84.6,,0.7,14.7
D,120,2022-08-16,14:38:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.7,,0.7,14.7
D,120,2022-08-16,14:39:00,台北標準時間,-56.7,-40.9,-48.8,89.0,84.6,,0.7,14.8
D,120,2022-08-16,14:40:00,台北標準時間,-56.5,-40.9,-48.7,89.0,85.0,,0.7,14.7
D,120,2022-08-16,14:41:00,台北標準時間,-56.6,-40.9,-48.8,89.0,84.8,,0.7,14.8
D,120,2022-08-16,14:42:00,台北標準時間,-56.5,-40.9,-48.7,89.0,85.0,,0.7,14.7
D,120,2022-08-16,14:43:00,台北標準時間,-56.5,-40.8,-48.7,89.0,85.6,,0.7,14.8
D,120,2022-08-16,14:44:00,台北標準時間,-56.5,-40.9,-48.7,89.0,85.3,,0.7,14.6
D,120,2022-08-16,14:45:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.3,,0.7,14.7
D,120,2022-08-16,14:46:00,台北標準時間,-56.7,-41.0,-48.8,89.0,84.9,,0.7,14.6
D,120,2022-08-16,14:47:00,台北標準時間,-56.6,-40.9,-48.7,89.0,85.7,,0.7,14.7
D,120,2022-08-16,14:48:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.5,,0.7,14.8
D,120,2022-08-16,14:49:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.4,,0.7,14.8
D,120,2022-08-16,14:50:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.3,,0.7,14.7
D,120,2022-08-16,14:51:00,台北標準時間,-56.6,-40.9,-48.7,89.0,85.8,,0.7,14.8
D,120,2022-08-16,14:52:00,台北標準時間,-56.5,-40.8,-48.7,89.0,86.1,,0.7,14.9
D,120,2022-08-16,14:53:00,台北標準時間,-56.6,-40.9,-48.7,89.0,86.0,,0.7,14.7
D,120,2022-08-16,14:54:00,台北標準時間,-56.5,-40.8,-48.7,89.0,85.9,,0.7,14.7
D,120,2022-08-16,14:55:00,台北標準時間,-56.5,-40.8,-48.6,89.0,86.5,,0.7,14.7
D,120,2022-08-16,14:56:00,台北標準時間,-56.5,-40.8,-48.7,89.0,86.1,,0.7,14.7
D,120,2022-08-16,14:57:00,台北標準時間,-56.7,-41.0,-48.9,89.0,84.9,,0.7,14.7
D,120,2022-08-16,14:58:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.4,,0.7,14.6
D,120,2022-08-16,14:59:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.2,,0.7,14.6
D,120,2022-08-16,15:00:00,台北標準時間,-56.6,-40.9,-48.7,89.0,85.7,,0.7,14.7
D,120,2022-08-16,15:01:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.8,,0.7,14.6
D,120,2022-08-16,15:02:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.3,,0.7,14.7
D,120,2022-08-16,15:03:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.3,,0.7,14.7
D,120,2022-08-16,15:04:00,台北標準時間,-56.5,-40.8,-48.7,89.0,86.0,,0.7,14.8
D,120,2022-08-16,15:05:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.5,,0.7,14.6
D,120,2022-08-16,15:06:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.4,,0.7,14.7
D,120,2022-08-16,15:07:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.2,,0.7,14.7
D,120,2022-08-16,15:08:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.2,,0.7,14.8
D,120,2022-08-16,15:09:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.2,,0.7,14.9
D,120,2022-08-16,15:10:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.3,,0.7,14.8
D,120,2022-08-16,15:11:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.3,,0.7,14.8
D,120,2022-08-16,15:12:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.4,,0.7,14.7
D,120,2022-08-16,15:13:00,台北標準時間,-56.7,-41.0,-48.9,89.0,84.9,,0.7,14.7
D,120,2022-08-16,15:14:00,台北標準時間,-56.6,-40.9,-48.8,89.0,85.2,,0.7,14.7
D,120,2022-08-16,15:15:00,台北標準時間,-56.7,-41.0,-48.8,89.0,84.9,,0.7,14.9
D,120,2022-08-16,15:16:00,台北標準時間,-56.7,-41.0,-48.9,89.0,84.9,,0.7,14.7
D,120,2022-08-16,15:17:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.0,,0.7,14.6
D,120,2022-08-16,15:18:00,台北標準時間,-56.8,-41.1,-49.0,89.0,84.7,,0.7,14.7
D,120,2022-08-16,15:19:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.0,,0.7,14.7
D,120,2022-08-16,15:20:00,台北標準時間,-56.9,-41.1,-49.0,89.0,83.9,,0.7,14.5
D,120,2022-08-16,15:21:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.1,,0.7,14.7
D,120,2022-08-16,15:22:00,台北標準時間,-56.8,-41.1,-48.9,89.0,84.6,,0.7,14.8
D,120,2022-08-16,15:23:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.3,,0.7,14.6
D,120,2022-08-16,15:24:00,台北標準時間,-56.8,-41.1,-49.0,89.0,84.5,,0.7,14.8
D,120,2022-08-16,15:25:00,台北標準時間,-56.8,-41.1,-49.0,89.0,84.2,,0.7,14.7
D,120,2022-08-16,15:26:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.4,,0.7,14.7
D,120,2022-08-16,15:27:00,台北標準時間,-56.9,-41.2,-49.1,89.0,83.8,,0.7,14.7
D,120,2022-08-16,15:28:00,台北標準時間,-57.0,-41.2,-49.1,89.0,83.7,,0.7,14.7
D,120,2022-08-16,15:29:00,台北標準時間,-56.9,-41.1,-49.0,89.0,83.8,,0.7,14.7
D,120,2022-08-16,15:30:00,台北標準時間,-56.9,-41.1,-49.0,89.0,83.9,,0.7,14.5
D,120,2022-08-16,15:31:00,台北標準時間,-56.9,-41.1,-49.0,89.0,83.9,,0.7,14.7
D,120,2022-08-16,15:32:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.2,,0.7,14.6
D,120,2022-08-16,15:33:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.4,,0.7,14.7
D,120,2022-08-16,15:34:00,台北標準時間,-56.7,-41.0,-48.9,89.0,84.7,,0.7,14.7
D,120,2022-08-16,15:35:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.0,,0.7,14.7
D,120,2022-08-16,15:36:00,台北標準時間,-56.6,-40.9,-48.8,89.0,84.9,,0.7,14.6
D,120,2022-08-16,15:37:00,台北標準時間,-56.7,-41.0,-48.9,89.0,84.7,,0.7,14.7
D,120,2022-08-16,15:38:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.1,,0.7,14.7
D,120,2022-08-16,15:39:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.0,,0.7,14.6
D,120,2022-08-16,15:40:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.0,,0.7,14.6
D,120,2022-08-16,15:41:00,台北標準時間,-56.7,-41.0,-48.8,89.0,84.9,,0.7,14.7
D,120,2022-08-16,15:42:00,台北標準時間,-56.7,-41.0,-48.9,89.0,85.0,,0.7,14.8
D,120,2022-08-16,15:43:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.2,,0.7,14.6
D,120,2022-08-16,15:44:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.9,,0.7,14.7
D,120,2022-08-16,15:45:00,台北標準時間,-56.7,-41.0,-48.9,89.0,84.8,,0.7,14.8
D,120,2022-08-16,15:46:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.4,,0.7,14.7
D,120,2022-08-16,15:47:00,台北標準時間,-56.8,-41.1,-49.0,89.0,84.5,,0.7,14.7
D,120,2022-08-16,15:48:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.5,,0.7,14.8
D,120,2022-08-16,15:49:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.2,,0.7,14.7
D,120,2022-08-16,15:50:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.6,,0.7,14.7
D,120,2022-08-16,15:51:00,台北標準時間,-56.6,-40.9,-48.8,89.0,84.7,,0.7,14.7
D,120,2022-08-16,15:52:00,台北標準時間,-56.7,-40.9,-48.8,89.0,84.8,,0.7,14.7
D,120,2022-08-16,15:53:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.3,,0.7,14.7
D,120,2022-08-16,15:54:00,台北標準時間,-56.6,-41.0,-48.8,89.0,85.4,,0.7,14.7
D,120,2022-08-16,15:55:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.2,,0.7,14.7
D,120,2022-08-16,15:56:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.0,,0.7,14.7
D,120,2022-08-16,15:57:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.7,,0.7,14.7
D,120,2022-08-16,15:58:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.7,,0.7,14.8
D,120,2022-08-16,15:59:00,台北標準時間,-56.9,-41.1,-49.0,89.0,83.9,,0.7,14.8
D,120,2022-08-16,16:00:00,台北標準時間,-56.8,-41.0,-48.9,89.0,84.5,,0.7,14.9
D,120,2022-08-16,16:01:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.3,,0.7,14.7
D,120,2022-08-16,16:02:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.1,,0.7,14.8
D,120,2022-08-16,16:03:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.1,,0.7,14.7
D,120,2022-08-16,16:04:00,台北標準時間,-56.7,-40.9,-48.8,89.0,85.2,,0.7,14.8
D,120,2022-08-16,16:05:00,台北標準時間,-56.9,-41.1,-49.0,89.0,84.9,,0.7,14.7
D,120,2022-08-16,16:06:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.2,,0.7,14.7
