B_BLNO,120,,,,8,8,8,8,8,8,8,8
B_PERD,120,,,,60,60,60,60,60,60,60,60
B_SMPL,120,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,120,,,,R,R,R,R,R,R,R,R
P_ITEM,120,,,,37VJ583-PI.PV,37VJ603-PI.PV,37VD430-PC.PV,37VD430-PC.MV,37VD430-CUR.PV,,37VJ434-ZT01.PV,37VJ435-ZT02.PV
P_CMNT,120,,,,#3透平機電機側壓力,#3透平機自由側壓力,#3透平機負壓,#3透平機負壓,#3透平機主馬達電流,,#3真空泵電機側振動,#3真空泵自由側振動
P_DPLO,120,,,,-100.0,-100.0,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,120,,,,0.0,0.0,0.0,100.0,100.0,,200.0,200.0
P_DPDP,120,,,,1,1,1,1,1,,1,1
P_EUNT,120,,,,kPa,kPa,kPa,%,%,,um,um
P_TYPE,120,,,,Analog,Analog,Analog,Analog,Analog,,Analog,Analog
G_STAT,120,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,120,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,120,2022-08-16,12:08:00,台北標準時間,-56.8,-41.1,-48.9,89.0,85.2,,0.7,14.8
D,120,2022-08-16,12:09:00,台北標準時間,-56.8,-41.1,-48.9,89.0,85.3,,0.7,14.7
D,120,2022-08-16,12:10:00,台北標準時間,-56.8,-41.1,-49.0,89.0,85.2,,0.7,14.8
D,120,2022-08-16,12:11:00,台北標準時間,-56.8,-41.0,-48.9,89.0,85.3,,0.7,14.7
D,120,2022-08-16,12:12:00,台北標準時間,-56.8,-41.1,-48.9,89.0,85.6,,0.7,14.8
D,120,2022-08-16,12:13:00,台北標準時間,-56.9,-41.1,-49.0,89.0,85.3,,0.7,14.6
D,120,2022-08-16,12:14:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.6,,0.7,14.7
D,120,2022-08-16,12:15:00,台北標準時間,-57.1,-41.2,-49.1,89.0,84.6,,0.7,14.7
D,120,2022-08-16,12:16:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.6,,0.7,14.7
D,120,2022-08-16,12:17:00,台北標準時間,-57.0,-41.1,-49.1,89.0,84.6,,0.7,14.7
D,120,2022-08-16,12:18:00,台北標準時間,-57.2,-41.2,-49.2,89.0,84.4,,0.7,14.7
D,120,2022-08-16,12:19:00,台北標準時間,-57.2,-41.2,-49.2,89.0,83.9,,0.7,14.8
D,120,2022-08-16,12:20:00,台北標準時間,-57.1,-41.2,-49.1,89.0,84.4,,0.7,14.7
D,120,2022-08-16,12:21:00,台北標準時間,-56.9,-41.1,-49.0,89.0,85.3,,0.7,14.6
D,120,2022-08-16,12:22:00,台北標準時間,-56.8,-41.1,-48.9,89.0,85.4,,0.7,14.6
D,120,2022-08-16,12:23:00,台北標準時間,-56.7,-41.0,-48.8,89.0,85.9,,0.7,14.7
D,120,2022-08-16,12:24:00,台北標準時間,-56.9,-41.1,-49.0,89.0,85.0,,0.7,14.7
D,120,2022-08-16,12:25:00,台北標準時間,-57.0,-41.2,-49.1,89.0,84.6,,0.7,14.6
D,120,2022-08-16,12:26:00,台北標準時間,-57.1,-41.3,-49.2,89.0,83.9,,0.7,14.7
