B_BLNO,121,,,,8,8,8,8,8,8,8,8
B_PERD,121,,,,60,60,60,60,60,60,60,60
B_SMPL,121,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,121,,,,R,R,R,R,R,R,R,R
P_ITEM,121,,,,37VJ623-PI.PV,,37VD440-PC.PV,37VD440-PC.MV,37VD440-CUR.PV,,37VJ444-ZT01.PV,37VJ445-ZT02.PV
P_CMNT,121,,,,#4透平機自由側壓力,,#4透平機負壓,#4透平機負壓,#4透平機主馬達電流,,#4真空泵電機側振動,#4真空泵自由側振動
P_DPLO,121,,,,-100.0,,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,121,,,,0.0,,100.0,100.0,100.0,,200.0,200.0
P_DPDP,121,,,,1,,1,1,1,,1,1
P_EUNT,121,,,,kPa,,kPa,%,%,,um,um
P_TYPE,121,,,,Analog,,Analog,Analog,Analog,,Analog,Analog
G_STAT,121,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,121,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,121,2022-06-02,00:01:00,台北標準時間,-48.3,,-48.3,100.0,82.6,,13.3,2.4
D,121,2022-06-02,00:02:00,台北標準時間,-48.4,,-48.4,100.0,82.2,,13.3,2.5
D,121,2022-06-02,00:03:00,台北標準時間,-48.4,,-48.4,100.0,82.4,,13.2,2.5
D,121,2022-06-02,00:04:00,台北標準時間,-48.3,,-48.3,100.0,82.6,,13.2,2.5
D,121,2022-06-02,00:05:00,台北標準時間,-48.3,,-48.3,100.0,82.5,,13.2,2.5
D,121,2022-06-02,00:06:00,台北標準時間,-48.3,,-48.3,100.0,82.0,,13.3,2.6
D,121,2022-06-02,00:07:00,台北標準時間,-48.3,,-48.3,100.0,82.6,,13.3,2.4
D,121,2022-06-02,00:08:00,台北標準時間,-48.3,,-48.3,100.0,82.5,,13.3,2.4
D,121,2022-06-02,00:09:00,台北標準時間,-48.3,,-48.3,100.0,82.6,,13.3,2.4
D,121,2022-06-02,00:10:00,台北標準時間,-48.4,,-48.4,100.0,82.4,,13.3,2.4
D,121,2022-06-02,00:11:00,台北標準時間,-48.3,,-48.3,100.0,82.6,,13.3,2.4
D,121,2022-06-02,00:12:00,台北標準時間,-48.3,,-48.3,100.0,82.2,,13.2,2.4
D,121,2022-06-02,00:13:00,台北標準時間,-48.3,,-48.3,100.0,82.3,,13.3,2.5
D,121,2022-06-02,00:14:00,台北標準時間,-48.4,,-48.4,100.0,81.9,,13.3,2.5
D,121,2022-06-02,00:15:00,台北標準時間,-48.3,,-48.3,100.0,82.4,,13.3,2.6
D,121,2022-06-02,00:16:00,台北標準時間,-48.3,,-48.3,100.0,82.1,,13.2,2.5
D,121,2022-06-02,00:17:00,台北標準時間,-48.4,,-48.4,100.0,82.3,,13.3,2.4
D,121,2022-06-02,00:18:00,台北標準時間,-48.4,,-48.4,100.0,82.1,,13.3,2.6
D,121,2022-06-02,00:19:00,台北標準時間,-48.4,,-48.4,100.0,82.1,,13.3,2.5
D,121,2022-06-02,00:20:00,台北標準時間,-48.4,,-48.4,100.0,82.0,,13.2,2.5
D,121,2022-06-02,00:21:00,台北標準時間,-48.4,,-48.4,100.0,82.2,,13.3,2.5
D,121,2022-06-02,00:22:00,台北標準時間,-48.4,,-48.4,100.0,81.8,,13.3,2.4
D,121,2022-06-02,00:23:00,台北標準時間,-48.4,,-48.4,100.0,82.1,,13.3,2.4
D,121,2022-06-02,00:24:00,台北標準時間,-48.3,,-48.3,100.0,82.0,,13.3,2.5
D,121,2022-06-02,00:25:00,台北標準時間,-48.4,,-48.4,100.0,82.0,,13.3,2.4
D,121,2022-06-02,00:26:00,台北標準時間,-48.3,,-48.3,100.0,82.2,,13.2,2.4
D,121,2022-06-02,00:27:00,台北標準時間,-48.4,,-48.4,100.0,82.2,,13.3,2.4
D,121,2022-06-02,00:28:00,台北標準時間,-48.4,,-48.4,100.0,82.0,,13.2,2.4
D,121,2022-06-02,00:29:00,台北標準時間,-48.4,,-48.4,100.0,82.0,,13.2,2.4
D,121,2022-06-02,00:30:00,台北標準時間,-48.4,,-48.4,100.0,82.4,,13.3,2.4
