B_BLNO,118,,,,8,8,8,8,8,8,8,8
B_PERD,118,,,,60,60,60,60,60,60,60,60
B_SMPL,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,118,,,,R,R,R,R,R,R,R,R
P_ITEM,118,,,,37VJ503-PI.PV,37VJ523-PI.PV,37VD410-PC.PV,37VD410-PC.MV,37VD410-CUR.PV,37VJ416-ZT01.PV,37VJ417-ZT02.PV,
P_CMNT,118,,,,#1透平機電機側壓力,#1透平機自由側壓力,#1透平機負壓,#1透平機負壓,#1透平機主馬達電流,#1真空泵電機側振動,#1真空泵自由側振動,
P_DPLO,118,,,,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,
P_DPHI,118,,,,0.0,0.0,0.0,100.0,100.0,200.0,200.0,
P_DPDP,118,,,,1,1,1,1,1,1,1,
P_EUNT,118,,,,kPa,kPa,kPa,%,%,um,um,
P_TYPE,118,,,,Analog,Analog,Analog,Analog,Analog,Analog,Analog,
G_STAT,118,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,118,2022-08-09,00:01:00,台北標準時間,-42.9,-37.6,-40.2,93.5,67.3,16.6,5.4,
D,118,2022-08-09,00:02:00,台北標準時間,-42.9,-37.6,-40.3,93.5,66.6,16.6,5.6,
D,118,2022-08-09,00:03:00,台北標準時間,-42.8,-37.5,-40.2,93.5,66.6,16.6,5.6,
D,118,2022-08-09,00:04:00,台北標準時間,-42.8,-37.5,-40.2,93.5,67.0,16.6,5.7,
D,118,2022-08-09,00:05:00,台北標準時間,-42.8,-37.6,-40.2,93.5,66.4,16.6,6.1,
D,118,2022-08-09,00:06:00,台北標準時間,-42.7,-37.4,-40.1,93.5,66.9,16.6,5.8,
D,118,2022-08-09,00:07:00,台北標準時間,-42.8,-37.4,-40.1,93.5,67.5,16.6,5.7,
D,118,2022-08-09,00:08:00,台北標準時間,-42.7,-37.4,-40.0,93.5,68.1,16.6,5.5,
D,118,2022-08-09,00:09:00,台北標準時間,-42.7,-37.5,-40.1,93.5,68.2,16.6,5.5,
D,118,2022-08-09,00:10:00,台北標準時間,-42.7,-37.6,-40.1,93.5,67.9,16.6,5.5,
D,118,2022-08-09,00:11:00,台北標準時間,-42.7,-37.5,-40.1,93.5,68.2,16.6,5.6,
D,118,2022-08-09,00:12:00,台北標準時間,-42.7,-37.4,-40.1,93.5,68.4,16.6,5.6,
D,118,2022-08-09,00:13:00,台北標準時間,-42.6,-37.4,-40.0,93.5,68.3,16.6,5.4,
D,118,2022-08-09,00:14:00,台北標準時間,-42.6,-37.3,-39.9,93.5,69.2,16.6,5.5,
D,118,2022-08-09,00:15:00,台北標準時間,-42.5,-37.4,-40.0,93.5,68.7,16.6,5.6,
D,118,2022-08-09,00:16:00,台北標準時間,-42.5,-37.4,-40.0,93.5,68.8,16.6,5.6,
D,118,2022-08-09,00:17:00,台北標準時間,-42.4,-37.4,-39.9,93.5,68.1,16.6,5.4,
D,118,2022-08-09,00:18:00,台北標準時間,-42.6,-37.4,-40.0,93.5,67.7,16.6,5.6,
D,118,2022-08-09,00:19:00,台北標準時間,-42.5,-37.4,-39.9,93.5,68.7,16.6,5.5,
D,118,2022-08-09,00:20:00,台北標準時間,-42.5,-37.2,-39.8,93.5,70.1,16.6,5.4,
D,118,2022-08-09,00:21:00,台北標準時間,-42.6,-37.3,-39.9,93.5,70.1,16.6,5.4,
D,118,2022-08-09,00:22:00,台北標準時間,-42.6,-37.3,-39.9,93.5,69.7,16.6,5.4,
D,118,2022-08-09,00:23:00,台北標準時間,-42.6,-37.3,-40.0,93.5,69.5,16.6,5.4,
D,118,2022-08-09,00:24:00,台北標準時間,-42.5,-37.4,-39.9,93.5,68.8,16.5,5.4,
D,118,2022-08-09,00:25:00,台北標準時間,-42.5,-37.5,-40.0,93.5,68.5,16.6,5.5,
D,118,2022-08-09,00:26:00,台北標準時間,-42.4,-37.4,-39.9,93.5,68.3,16.6,6.0,
D,118,2022-08-09,00:27:00,台北標準時間,-42.3,-37.4,-39.9,93.5,68.0,16.5,5.9,
D,118,2022-08-09,00:28:00,台北標準時間,-42.4,-37.5,-39.9,93.5,67.1,16.6,5.9,
D,118,2022-08-09,00:29:00,台北標準時間,-42.3,-37.5,-39.9,93.5,66.0,16.6,5.8,
D,118,2022-08-09,00:30:00,台北標準時間,-42.3,-37.4,-39.9,93.5,67.4,16.6,5.7,
D,118,2022-08-09,00:31:00,台北標準時間,-42.4,-37.4,-39.9,93.5,67.1,16.5,5.6,
D,118,2022-08-09,00:32:00,台北標準時間,-42.5,-37.4,-39.9,93.5,69.3,16.6,5.4,
D,118,2022-08-09,00:33:00,台北標準時間,-42.4,-37.3,-39.9,93.5,69.3,16.6,5.4,
D,118,2022-08-09,00:34:00,台北標準時間,-42.4,-37.4,-39.9,93.5,69.6,16.6,5.5,
D,118,2022-08-09,00:35:00,台北標準時間,-42.4,-37.3,-39.8,93.5,69.7,16.6,5.4,
D,118,2022-08-09,00:36:00,台北標準時間,-42.4,-37.3,-39.8,93.5,69.1,16.6,5.5,
D,118,2022-08-09,00:37:00,台北標準時間,-42.4,-37.4,-39.9,93.5,69.5,16.6,5.5,
D,118,2022-08-09,00:38:00,台北標準時間,-42.5,-37.4,-39.9,93.5,68.8,16.6,5.5,
D,118,2022-08-09,00:39:00,台北標準時間,-42.4,-37.5,-40.0,93.5,67.5,16.6,5.6,
D,118,2022-08-09,00:40:00,台北標準時間,-42.4,-37.5,-39.9,93.5,67.4,16.6,5.5,
D,118,2022-08-09,00:41:00,台北標準時間,-42.3,-37.5,-39.9,93.5,66.2,16.6,5.6,
D,118,2022-08-09,00:42:00,台北標準時間,-42.2,-37.4,-39.8,93.5,66.1,16.6,5.7,
D,118,2022-08-09,00:43:00,台北標準時間,-42.6,-37.4,-40.0,93.5,67.4,16.6,6.2,
