B_BLNO,118,,,,8,8,8,8,8,8,8,8
B_PERD,118,,,,60,60,60,60,60,60,60,60
B_SMPL,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,118,,,,R,R,R,R,R,R,R,R
P_ITEM,118,,,,37VJ503-PI.PV,37VJ523-PI.PV,37VD410-PC.PV,37VD410-PC.MV,37VD410-CUR.PV,37VJ416-ZT01.PV,37VJ417-ZT02.PV,
P_CMNT,118,,,,#1透平機電機側壓力,#1透平機自由側壓力,#1透平機負壓,#1透平機負壓,#1透平機主馬達電流,#1真空泵電機側振動,#1真空泵自由側振動,
P_DPLO,118,,,,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,
P_DPHI,118,,,,0.0,0.0,0.0,100.0,100.0,200.0,200.0,
P_DPDP,118,,,,1,1,1,1,1,1,1,
P_EUNT,118,,,,kPa,kPa,kPa,%,%,um,um,
P_TYPE,118,,,,Analog,Analog,Analog,Analog,Analog,Analog,Analog,
G_STAT,118,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,118,2022-07-02,00:01:00,台北標準時間,-26.8,-37.0,-31.9,90.0,90.7,13.7,6.4,
D,118,2022-07-02,00:02:00,台北標準時間,-26.9,-37.0,-32.0,90.0,90.6,13.7,6.4,
D,118,2022-07-02,00:03:00,台北標準時間,-26.8,-36.8,-31.8,90.0,90.5,13.8,6.5,
D,118,2022-07-02,00:04:00,台北標準時間,-26.8,-36.8,-31.8,90.0,90.2,13.7,6.4,
D,118,2022-07-02,00:05:00,台北標準時間,-27.0,-37.0,-32.0,90.0,89.7,13.7,6.4,
D,118,2022-07-02,00:06:00,台北標準時間,-27.0,-37.0,-32.0,90.0,90.4,13.7,6.5,
D,118,2022-07-02,00:07:00,台北標準時間,-27.0,-37.1,-32.0,90.0,89.9,13.7,6.4,
D,118,2022-07-02,00:08:00,台北標準時間,-27.2,-37.2,-32.2,90.0,89.4,13.7,6.4,
D,118,2022-07-02,00:09:00,台北標準時間,-27.6,-37.2,-32.4,90.0,89.0,13.7,6.4,
D,118,2022-07-02,00:10:00,台北標準時間,-28.0,-37.2,-32.6,90.0,88.8,13.8,6.4,
D,118,2022-07-02,00:11:00,台北標準時間,-28.2,-37.2,-32.7,90.0,88.3,13.8,6.4,
D,118,2022-07-02,00:12:00,台北標準時間,-28.4,-37.3,-32.8,90.0,88.2,13.7,6.4,
D,118,2022-07-02,00:13:00,台北標準時間,-28.5,-37.3,-32.9,90.0,87.5,14.2,6.4,
D,118,2022-07-02,00:14:00,台北標準時間,-28.7,-37.4,-33.0,90.0,86.6,13.7,6.4,
D,118,2022-07-02,00:15:00,台北標準時間,-28.7,-37.2,-33.0,90.0,86.8,13.7,6.4,
D,118,2022-07-02,00:16:00,台北標準時間,-28.9,-37.3,-33.1,90.0,86.7,13.7,6.5,
D,118,2022-07-02,00:17:00,台北標準時間,-29.0,-37.3,-33.2,90.0,86.5,13.7,6.4,
D,118,2022-07-02,00:18:00,台北標準時間,-29.2,-37.3,-33.3,90.0,86.2,13.7,6.6,
D,118,2022-07-02,00:19:00,台北標準時間,-29.3,-37.3,-33.3,90.0,86.4,13.7,6.4,
D,118,2022-07-02,00:20:00,台北標準時間,-29.4,-37.3,-33.4,90.0,85.8,13.9,6.4,
D,118,2022-07-02,00:21:00,台北標準時間,-29.6,-37.4,-33.5,90.0,85.6,13.7,6.4,
D,118,2022-07-02,00:22:00,台北標準時間,-29.7,-37.4,-33.5,90.0,85.6,13.7,6.4,
D,118,2022-07-02,00:23:00,台北標準時間,-29.7,-37.4,-33.6,90.0,85.4,13.7,6.4,
D,118,2022-07-02,00:24:00,台北標準時間,-29.6,-37.3,-33.5,90.0,85.7,13.7,6.4,
D,118,2022-07-02,00:25:00,台北標準時間,-29.7,-37.4,-33.5,90.0,85.0,13.8,6.5,
D,118,2022-07-02,00:26:00,台北標準時間,-29.7,-37.4,-33.6,90.0,84.7,13.7,6.5,
D,118,2022-07-02,00:27:00,台北標準時間,-29.7,-37.4,-33.5,90.0,84.5,13.7,6.5,
D,118,2022-07-02,00:28:00,台北標準時間,-29.1,-37.4,-33.3,90.0,84.9,13.7,6.5,
D,118,2022-07-02,00:29:00,台北標準時間,-29.2,-37.5,-33.3,90.0,85.0,13.7,6.4,
D,118,2022-07-02,00:30:00,台北標準時間,-29.1,-37.4,-33.3,90.0,84.9,13.7,6.4,
D,118,2022-07-02,00:31:00,台北標準時間,-29.1,-37.4,-33.3,90.0,85.1,13.7,6.5,
D,118,2022-07-02,00:32:00,台北標準時間,-29.2,-37.5,-33.3,90.0,85.3,13.7,6.4,
D,118,2022-07-02,00:33:00,台北標準時間,-29.1,-37.4,-33.2,90.0,85.3,13.7,6.5,
D,118,2022-07-02,00:34:00,台北標準時間,-29.1,-37.4,-33.2,90.0,85.6,13.7,6.4,
D,118,2022-07-02,00:35:00,台北標準時間,-29.1,-37.4,-33.3,90.0,85.4,13.7,6.4,
D,118,2022-07-02,00:36:00,台北標準時間,-28.9,-37.2,-33.1,90.0,86.9,13.7,6.5,
D,118,2022-07-02,00:37:00,台北標準時間,-28.7,-37.2,-33.0,90.0,86.9,13.7,6.4,
D,118,2022-07-02,00:38:00,台北標準時間,-28.7,-37.2,-33.0,90.0,86.6,13.5,6.4,
D,118,2022-07-02,00:39:00,台北標準時間,-28.6,-37.2,-32.9,90.0,86.9,13.6,6.4,
D,118,2022-07-02,00:40:00,台北標準時間,-28.4,-37.1,-32.7,90.0,87.3,13.7,6.4,
D,118,2022-07-02,00:41:00,台北標準時間,-28.3,-37.1,-32.7,90.0,87.8,13.7,6.4,
D,118,2022-07-02,00:42:00,台北標準時間,-28.0,-37.1,-32.5,90.0,87.9,13.7,6.4,
D,118,2022-07-02,00:43:00,台北標準時間,-27.9,-37.0,-32.5,90.0,88.2,13.7,6.4,
