B_BLNO,119,,,,8,8,8,8,8,8,8,8
B_PERD,119,,,,60,60,60,60,60,60,60,60
B_SMPL,119,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,119,,,,R,R,R,R,R,R,R,R
P_ITEM,119,,,,37VJ543-PI.PV,37VJ563-PI.PV,37VD420-PC.PV,37VD420-PC.MV,37VD420-CUR.PV,,37VJ426-ZT01.PV,37VJ427-ZT02.PV
P_CMNT,119,,,,#2透平機電機側壓力,#2透平機自由側壓力,#2透平機負壓,#2透平機負壓,#2透平機主馬達電流,,#2真空泵電機側振動,#2真空泵自由側振動
P_DPLO,119,,,,-100.0,-100.0,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,119,,,,0.0,0.0,0.0,100.0,100.0,,200.0,200.0
P_DPDP,119,,,,1,1,1,1,1,,1,1
P_EUNT,119,,,,kPa,kPa,kPa,%,%,,um,um
P_TYPE,119,,,,Analog,Analog,Analog,Analog,Analog,,Analog,Analog
G_STAT,119,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,119,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,119,2022-08-20,13:23:00,台北標準時間,-31.4,-48.0,-39.7,72.0,37.1,,1.6,19.3
D,119,2022-08-20,13:24:00,台北標準時間,-31.4,-47.9,-39.7,72.0,37.9,,1.6,18.6
D,119,2022-08-20,13:25:00,台北標準時間,-31.6,-48.1,-39.8,72.0,38.5,,1.6,18.3
D,119,2022-08-20,13:26:00,台北標準時間,-31.8,-48.1,-40.0,72.0,38.0,,1.6,18.3
D,119,2022-08-20,13:27:00,台北標準時間,-32.1,-48.3,-40.2,72.0,38.8,,1.6,18.3
D,119,2022-08-20,13:28:00,台北標準時間,-32.1,-48.3,-40.2,72.0,38.4,,1.6,18.3
D,119,2022-08-20,13:29:00,台北標準時間,-32.3,-48.4,-40.3,72.0,38.4,,1.6,17.9
D,119,2022-08-20,13:30:00,台北標準時間,-32.2,-48.7,-40.4,72.0,37.6,,1.5,17.5
D,119,2022-08-20,13:31:00,台北標準時間,-32.3,-48.7,-40.5,72.0,37.2,,1.6,17.6
D,119,2022-08-20,13:32:00,台北標準時間,-32.2,-48.7,-40.4,72.0,36.5,,1.6,17.2
D,119,2022-08-20,13:33:00,台北標準時間,-32.2,-48.8,-40.5,72.0,36.5,,1.6,17.5
D,119,2022-08-20,13:34:00,台北標準時間,-32.0,-48.6,-40.3,72.0,35.3,,1.4,18.4
D,119,2022-08-20,13:35:00,台北標準時間,-31.8,-48.4,-40.1,72.0,34.8,,1.6,19.3
D,119,2022-08-20,13:36:00,台北標準時間,-31.5,-48.2,-39.8,72.0,34.5,,1.6,19.9
D,119,2022-08-20,13:37:00,台北標準時間,-31.4,-48.0,-39.7,72.0,36.6,,1.6,19.8
D,119,2022-08-20,13:38:00,台北標準時間,-31.4,-48.0,-39.7,72.0,37.2,,1.6,19.8
D,119,2022-08-20,13:39:00,台北標準時間,-31.4,-48.0,-39.7,72.0,37.1,,1.6,19.5
D,119,2022-08-20,13:40:00,台北標準時間,-31.4,-47.9,-39.7,72.0,37.9,,1.6,19.2
D,119,2022-08-20,13:41:00,台北標準時間,-31.5,-48.0,-39.8,72.0,37.8,,1.6,19.2
D,119,2022-08-20,13:42:00,台北標準時間,-31.4,-47.9,-39.7,72.0,37.9,,1.6,18.8
D,119,2022-08-20,13:43:00,台北標準時間,-31.5,-47.9,-39.7,72.0,38.3,,1.6,18.5
D,119,2022-08-20,13:44:00,台北標準時間,-31.5,-47.9,-39.7,72.0,38.1,,1.5,19.1
D,119,2022-08-20,13:45:00,台北標準時間,-31.4,-48.0,-39.7,72.0,37.5,,1.5,19.2
D,119,2022-08-20,13:46:00,台北標準時間,-31.4,-47.9,-39.7,72.0,37.9,,1.6,18.9
D,119,2022-08-20,13:47:00,台北標準時間,-31.5,-48.0,-39.8,72.0,38.0,,1.5,19.2
D,119,2022-08-20,13:48:00,台北標準時間,-31.6,-48.0,-39.8,72.0,38.3,,1.6,18.6
D,119,2022-08-20,13:49:00,台北標準時間,-31.7,-48.0,-39.9,72.0,38.5,,1.6,17.9
D,119,2022-08-20,13:50:00,台北標準時間,-31.8,-48.2,-40.0,72.0,38.3,,1.6,18.3
D,119,2022-08-20,13:51:00,台北標準時間,-32.0,-48.3,-40.2,72.0,38.6,,1.6,18.2
D,119,2022-08-20,13:52:00,台北標準時間,-32.3,-48.5,-40.4,72.0,38.4,,1.6,18.2
D,119,2022-08-20,13:53:00,台北標準時間,-32.2,-48.6,-40.4,72.0,37.3,,1.6,17.1
D,119,2022-08-20,13:54:00,台北標準時間,-32.3,-48.7,-40.5,72.0,37.1,,1.5,17.3
D,119,2022-08-20,13:55:00,台北標準時間,-32.0,-48.6,-40.3,72.0,35.7,,1.6,18.2
D,119,2022-08-20,13:56:00,台北標準時間,-31.9,-48.5,-40.2,72.0,35.3,,1.5,19.1
D,119,2022-08-20,13:57:00,台北標準時間,-31.8,-48.4,-40.1,72.0,35.1,,1.6,19.1
D,119,2022-08-20,13:58:00,台北標準時間,-31.6,-48.2,-39.9,72.0,34.5,,1.6,20.0
D,119,2022-08-20,13:59:00,台北標準時間,-31.4,-48.1,-39.8,72.0,34.7,,1.6,20.2
D,119,2022-08-20,14:00:00,台北標準時間,-31.4,-48.0,-39.7,72.0,36.3,,1.6,20.5
D,119,2022-08-20,14:01:00,台北標準時間,-31.4,-48.0,-39.7,72.0,36.4,,1.6,20.1
D,119,2022-08-20,14:02:00,台北標準時間,-31.5,-48.0,-39.7,72.0,37.2,,1.6,19.6
D,119,2022-08-20,14:03:00,台北標準時間,-31.5,-48.0,-39.7,72.0,37.3,,1.6,19.3
D,119,2022-08-20,14:04:00,台北標準時間,-31.4,-48.0,-39.7,72.0,37.0,,1.6,19.6
D,119,2022-08-20,14:05:00,台北標準時間,-31.5,-48.0,-39.7,72.0,37.4,,1.6,19.5
D,119,2022-08-20,14:06:00,台北標準時間,-31.6,-48.0,-39.8,72.0,38.1,,1.6,18.8
D,119,2022-08-20,14:07:00,台北標準時間,-31.5,-48.0,-39.7,72.0,38.1,,1.5,19.1
D,119,2022-08-20,14:08:00,台北標準時間,-31.6,-48.0,-39.8,72.0,38.6,,1.5,18.6
D,119,2022-08-20,14:09:00,台北標準時間,-31.7,-48.0,-39.9,72.0,38.4,,1.6,18.4
D,119,2022-08-20,14:10:00,台北標準時間,-31.8,-48.1,-40.0,72.0,38.1,,1.6,18.2
D,119,2022-08-20,14:11:00,台北標準時間,-32.3,-48.6,-40.4,72.0,38.0,,1.6,17.7
D,119,2022-08-20,14:12:00,台北標準時間,-32.3,-48.7,-40.5,72.0,37.0,,1.6,17.4
D,119,2022-08-20,14:13:00,台北標準時間,-32.2,-48.7,-40.4,72.0,36.1,,1.6,17.5
D,119,2022-08-20,14:14:00,台北標準時間,-32.1,-48.7,-40.4,72.0,36.4,,1.5,17.4
D,119,2022-08-20,14:15:00,台北標準時間,-31.9,-48.4,-40.1,72.0,35.3,,1.6,19.1
D,119,2022-08-20,14:16:00,台北標準時間,-31.8,-48.3,-40.0,72.0,34.8,,1.6,19.2
D,119,2022-08-20,14:17:00,台北標準時間,-31.5,-48.1,-39.8,72.0,34.6,,1.6,19.9
D,119,2022-08-20,14:18:00,台北標準時間,-31.4,-48.1,-39.8,72.0,34.2,,1.6,20.3
D,119,2022-08-20,14:19:00,台北標準時間,-31.4,-47.9,-39.7,72.0,37.0,,1.6,19.9
