B_BLNO,121,,,,8,8,8,8,8,8,8,8
B_PERD,121,,,,60,60,60,60,60,60,60,60
B_SMPL,121,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,121,,,,R,R,R,R,R,R,R,R
P_ITEM,121,,,,37VJ623-PI.PV,,37VD440-PC.PV,37VD440-PC.MV,37VD440-CUR.PV,,37VJ444-ZT01.PV,37VJ445-ZT02.PV
P_CMNT,121,,,,#4透平機自由側壓力,,#4透平機負壓,#4透平機負壓,#4透平機主馬達電流,,#4真空泵電機側振動,#4真空泵自由側振動
P_DPLO,121,,,,-100.0,,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,121,,,,0.0,,100.0,100.0,100.0,,200.0,200.0
P_DPDP,121,,,,1,,1,1,1,,1,1
P_EUNT,121,,,,kPa,,kPa,%,%,,um,um
P_TYPE,121,,,,Analog,,Analog,Analog,Analog,,Analog,Analog
G_STAT,121,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,121,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,121,2022-08-20,13:23:00,台北標準時間,-47.3,,-47.3,100.0,86.1,,12.3,2.8
D,121,2022-08-20,13:24:00,台北標準時間,-47.3,,-47.3,100.0,85.9,,12.3,2.6
D,121,2022-08-20,13:25:00,台北標準時間,-47.3,,-47.3,100.0,85.7,,12.3,2.5
D,121,2022-08-20,13:26:00,台北標準時間,-47.3,,-47.3,100.0,85.7,,12.3,2.6
D,121,2022-08-20,13:27:00,台北標準時間,-47.3,,-47.3,100.0,86.0,,12.3,2.6
D,121,2022-08-20,13:28:00,台北標準時間,-47.3,,-47.3,100.0,86.0,,12.3,2.8
D,121,2022-08-20,13:29:00,台北標準時間,-47.3,,-47.3,100.0,85.5,,12.3,2.6
D,121,2022-08-20,13:30:00,台北標準時間,-47.3,,-47.3,100.0,85.4,,12.3,2.6
D,121,2022-08-20,13:31:00,台北標準時間,-47.3,,-47.3,100.0,85.6,,12.3,3.0
D,121,2022-08-20,13:32:00,台北標準時間,-47.3,,-47.3,100.0,85.8,,12.3,2.7
D,121,2022-08-20,13:33:00,台北標準時間,-47.3,,-47.3,100.0,85.8,,12.3,2.7
D,121,2022-08-20,13:34:00,台北標準時間,-47.3,,-47.3,100.0,86.0,,12.3,3.2
D,121,2022-08-20,13:35:00,台北標準時間,-47.3,,-47.3,100.0,86.1,,12.3,2.8
D,121,2022-08-20,13:36:00,台北標準時間,-47.3,,-47.3,100.0,85.7,,12.3,2.6
D,121,2022-08-20,13:37:00,台北標準時間,-47.3,,-47.3,100.0,85.8,,12.3,2.7
D,121,2022-08-20,13:38:00,台北標準時間,-47.3,,-47.3,100.0,86.0,,12.3,2.7
D,121,2022-08-20,13:39:00,台北標準時間,-47.3,,-47.3,100.0,86.2,,12.3,2.7
D,121,2022-08-20,13:40:00,台北標準時間,-47.3,,-47.3,100.0,86.2,,12.3,2.5
D,121,2022-08-20,13:41:00,台北標準時間,-47.3,,-47.3,100.0,85.9,,12.3,2.5
D,121,2022-08-20,13:42:00,台北標準時間,-47.3,,-47.3,100.0,85.9,,12.3,2.5
D,121,2022-08-20,13:43:00,台北標準時間,-47.3,,-47.3,100.0,86.0,,12.3,2.8
D,121,2022-08-20,13:44:00,台北標準時間,-47.3,,-47.3,100.0,85.6,,12.3,2.7
D,121,2022-08-20,13:45:00,台北標準時間,-47.3,,-47.3,100.0,85.9,,12.3,2.6
D,121,2022-08-20,13:46:00,台北標準時間,-47.3,,-47.3,100.0,85.7,,12.3,2.5
D,121,2022-08-20,13:47:00,台北標準時間,-47.3,,-47.3,100.0,85.8,,12.3,2.6
D,121,2022-08-20,13:48:00,台北標準時間,-47.3,,-47.3,100.0,85.8,,12.2,2.6
D,121,2022-08-20,13:49:00,台北標準時間,-47.3,,-47.3,100.0,85.6,,12.3,2.6
D,121,2022-08-20,13:50:00,台北標準時間,-47.3,,-47.3,100.0,86.0,,12.3,2.6
D,121,2022-08-20,13:51:00,台北標準時間,-47.3,,-47.3,100.0,85.7,,12.3,2.5
D,121,2022-08-20,13:52:00,台北標準時間,-47.3,,-47.3,100.0,85.7,,12.3,2.5
