time,Gas_for_paper,Hourly_Production,Total_water,Quantitative_measurement_of_coiling_scan_frame,#1_Turbine_Motor_Side_Pressure,#1_Turbine_Free_Side_Pressure,#1_Turbine_Negative_Pressure,#1_Turbine_Negative_Pressure.1,#1_Turbine_Main_Motor_Current,#1_Vacuum_Pump_Motor_Side_Vibration,#1_Vacuum_Pump_Free_Side_Vibration,#2_Turbine_Motor_Side_Pressure,#2_Turbine_Free_Side_Pressure,#2_Turbine_Negative_Pressure,#2_Turbine_Negative_Pressure.1,#2_Turbine_Main_Motor_Current,#2_Vacuum_Pump_Motor_Side_Vibration,#2_Vacuum_Pump_Free_Side_Vibration,#3_Turbine_Motor_Side_Pressure,#3_Turbine_Free_Side_Pressure,#3_Turbine_Negative_Pressure,#3_Turbine_Negative_Pressure.1,#3_Turbine_Main_Motor_Current,#3_Vacuum_Pump_Motor_Side_Vibration,#3_Vacuum_Pump_Free_Side_Vibration,#4_Turbine_Free_Side_Pressure,#4_Turbine_Negative_Pressure,#4_Turbine_Negative_Pressure.1,#4_Turbine_Main_Motor_Current,#4_Vacuum_Pump_Motor_Side_Vibration,#4_Vacuum_Pump_Free_Side_Vibration
2022-06-28 14:01:00,0.983,43.1,103.0,159.1,-34.4,-39.1,-36.7,92.0,73.4,14.2,6.2,-49.6,-62.2,-55.9,90.0,55.8,1.1,21.1,-54.5,-41.8,-48.2,91.0,85.9,0.7,14.8,-51.7,-51.7,100.0,76.2,12.3,2.5
2022-06-28 14:02:00,1.0,43.0,102.0,159.1,-34.4,-39.2,-36.8,92.0,73.3,14.1,6.2,-49.6,-62.2,-55.9,90.0,55.8,1.0,21.1,-54.2,-41.6,-47.9,91.0,86.3,0.7,14.7,-51.7,-51.7,100.0,76.2,12.3,2.5
2022-06-28 14:03:00,0.999,43.0,50.0,159.1,-34.4,-39.1,-36.7,92.0,73.1,14.2,6.2,-49.6,-62.2,-55.9,90.0,55.8,1.1,21.1,-54.3,-41.6,-47.9,91.0,86.0,0.7,14.9,-51.7,-51.7,100.0,75.8,12.2,3.1
2022-06-28 14:04:00,1.006,43.0,49.0,159.7,-34.4,-39.1,-36.8,92.0,73.1,14.1,6.3,-49.6,-62.2,-55.9,90.0,55.7,1.0,21.1,-54.4,-41.7,-48.1,91.0,85.7,0.7,14.7,-51.7,-51.7,100.0,76.2,12.3,2.7
2022-06-28 14:05:00,1.0,43.0,49.0,159.9,-34.3,-39.1,-36.7,92.0,73.4,14.2,6.3,-49.6,-62.2,-55.9,90.0,55.7,1.0,21.1,-54.2,-41.7,-47.9,91.0,86.6,0.7,14.8,-51.7,-51.7,100.0,76.4,12.2,2.9
2022-06-28 14:06:00,0.979,43.0,49.0,159.2,-34.0,-39.1,-36.6,92.0,73.5,14.0,6.3,-49.6,-62.2,-55.9,90.0,56.0,1.0,21.1,-54.1,-41.6,-47.9,91.0,86.9,0.7,14.7,-51.7,-51.7,100.0,76.4,12.2,2.7
2022-06-28 14:07:00,0.982,43.0,49.0,159.4,-33.0,-39.1,-36.1,92.0,75.5,14.1,5.9,-49.6,-62.2,-55.9,90.0,56.1,1.1,21.1,-54.3,-41.7,-48.0,91.0,86.6,0.7,14.8,-51.7,-51.7,100.0,76.6,12.3,2.5
2022-06-28 14:08:00,0.974,43.0,49.0,159.3,-33.4,-39.2,-36.3,92.0,75.3,14.2,6.2,-49.6,-62.2,-55.9,90.0,56.1,1.1,21.1,-54.3,-41.7,-48.0,91.0,86.9,0.7,14.7,-51.7,-51.7,100.0,76.5,12.3,2.6
2022-06-28 14:09:00,0.979,42.9,29.0,160.7,-33.3,-39.2,-36.2,92.0,75.6,14.6,5.8,-49.6,-62.2,-55.9,90.0,56.1,1.1,21.1,-54.8,-41.8,-48.3,91.0,86.1,0.7,14.8,-51.7,-51.7,100.0,76.3,12.3,2.5
2022-06-28 14:10:00,0.972,42.9,26.0,159.7,-33.6,-39.2,-36.4,92.0,75.1,14.2,6.3,-49.6,-62.2,-55.9,90.0,55.9,1.0,21.1,-54.1,-41.6,-47.9,91.0,87.2,0.7,14.7,-51.7,-51.7,100.0,76.6,12.3,2.6
