time,Gas_for_paper,Hourly_Production,Total_water,Quantitative_measurement_of_coiling_scan_frame,#1_Turbine_Motor_Side_Pressure,#1_Turbine_Free_Side_Pressure,#1_Turbine_Negative_Pressure,#1_Turbine_Negative_Pressure.1,#1_Turbine_Main_Motor_Current,#1_Vacuum_Pump_Motor_Side_Vibration,#1_Vacuum_Pump_Free_Side_Vibration,#2_Turbine_Motor_Side_Pressure,#2_Turbine_Free_Side_Pressure,#2_Turbine_Negative_Pressure,#2_Turbine_Negative_Pressure.1,#2_Turbine_Main_Motor_Current,#2_Vacuum_Pump_Motor_Side_Vibration,#2_Vacuum_Pump_Free_Side_Vibration,#3_Turbine_Motor_Side_Pressure,#3_Turbine_Free_Side_Pressure,#3_Turbine_Negative_Pressure,#3_Turbine_Negative_Pressure.1,#3_Turbine_Main_Motor_Current,#3_Vacuum_Pump_Motor_Side_Vibration,#3_Vacuum_Pump_Free_Side_Vibration,#4_Turbine_Free_Side_Pressure,#4_Turbine_Negative_Pressure,#4_Turbine_Negative_Pressure.1,#4_Turbine_Main_Motor_Current,#4_Vacuum_Pump_Motor_Side_Vibration,#4_Vacuum_Pump_Free_Side_Vibration
2022-09-27 00:01:00,0.945,41.3,167.0,196.4,-38.2,-36.7,-37.4,90.0,67.2,18.0,6.7,-38.6,-55.1,-46.9,73.0,40.3,1.5,17.9,-60.3,-41.6,-51.0,90.0,71.1,0.6,12.8,-47.7,-47.7,100.0,83.2,12.6,2.5
2022-09-27 00:02:00,0.945,41.3,171.0,196.8,-38.2,-36.7,-37.4,90.0,67.2,17.6,6.7,-38.6,-55.2,-46.9,73.0,40.2,1.1,18.0,-60.3,-41.6,-51.0,90.0,70.8,0.6,12.7,-47.7,-47.7,100.0,83.0,12.8,2.5
2022-09-27 00:03:00,0.958,41.3,171.0,199.1,-38.2,-36.7,-37.5,90.0,67.5,17.6,6.5,-38.6,-55.1,-46.8,73.0,39.8,1.2,17.9,-60.3,-41.6,-50.9,90.0,71.1,0.6,12.8,-47.7,-47.7,100.0,83.3,12.5,2.4
2022-09-27 00:04:00,0.985,41.3,172.0,198.3,-38.2,-36.6,-37.4,90.0,67.8,17.9,6.5,-38.6,-55.1,-46.8,73.0,40.3,1.4,18.0,-60.3,-41.6,-50.9,90.0,70.3,0.6,12.5,-47.7,-47.7,100.0,83.2,12.6,2.5
2022-09-27 00:05:00,0.99,41.3,171.0,201.8,-38.2,-36.7,-37.4,90.0,67.2,17.8,6.5,-38.6,-55.1,-46.9,73.0,40.2,1.2,18.2,-60.3,-41.6,-50.9,90.0,71.1,0.6,12.7,-47.7,-47.7,100.0,83.0,12.6,2.5
2022-09-27 00:06:00,0.98,41.3,172.0,200.7,-38.1,-36.7,-37.4,90.0,67.5,17.7,6.5,-38.6,-55.1,-46.9,73.0,39.9,1.5,18.0,-60.3,-41.6,-50.9,90.0,71.0,0.6,12.9,-47.7,-47.7,100.0,83.1,12.8,2.5
2022-09-27 00:07:00,0.977,41.2,172.0,200.9,-38.1,-36.7,-37.4,90.0,67.5,17.9,6.4,-38.6,-55.2,-46.9,73.0,40.2,1.4,17.6,-60.3,-41.6,-51.0,90.0,71.0,0.6,12.7,-47.7,-47.7,100.0,83.3,12.8,2.4
2022-09-27 00:08:00,0.977,20.6,172.0,200.1,-38.0,-36.7,-37.4,90.0,68.0,17.9,6.5,-38.6,-55.2,-46.9,73.0,40.3,1.4,17.9,-60.3,-41.6,-51.0,90.0,70.4,0.6,12.8,-47.7,-47.7,100.0,83.3,12.8,2.4
2022-09-27 00:09:00,0.988,41.0,173.0,199.8,-38.0,-36.6,-37.3,90.0,68.0,18.0,6.6,-38.6,-55.2,-46.9,73.0,40.3,1.4,17.7,-60.3,-41.6,-51.0,90.0,70.5,0.6,12.9,-47.7,-47.7,100.0,83.2,12.5,2.4
2022-09-27 00:10:00,0.963,41.0,184.0,201.2,-38.1,-36.7,-37.4,90.0,67.8,17.6,6.7,-38.5,-55.1,-46.8,73.0,40.1,1.3,17.8,-60.3,-41.6,-50.9,90.0,71.3,0.6,12.8,-47.7,-47.7,100.0,83.5,12.7,2.5
2022-09-27 00:11:00,0.957,41.1,198.0,201.2,-38.1,-36.7,-37.4,90.0,68.0,18.1,6.6,-38.5,-55.1,-46.8,73.0,40.2,1.4,17.3,-60.3,-41.6,-50.9,90.0,71.0,0.6,12.7,-47.7,-47.7,100.0,83.3,12.8,2.5
2022-09-27 00:12:00,0.949,41.2,195.0,200.7,-38.0,-36.6,-37.3,90.0,68.0,17.6,7.0,-38.5,-55.0,-46.8,73.0,40.0,1.4,17.2,-60.3,-41.6,-50.9,90.0,71.0,0.6,12.8,-47.7,-47.7,100.0,83.4,12.8,2.4
2022-09-27 00:13:00,0.95,41.2,195.0,200.4,-38.0,-36.7,-37.4,90.0,67.7,17.7,6.6,-38.5,-55.1,-46.8,73.0,39.8,1.3,17.0,-60.3,-41.6,-51.0,90.0,71.0,0.6,12.9,-47.7,-47.7,100.0,83.4,12.9,2.4
2022-09-27 00:14:00,0.996,41.2,196.0,200.4,-38.0,-36.6,-37.3,90.0,68.1,17.8,7.0,-38.5,-55.1,-46.8,73.0,40.0,1.5,17.1,-60.3,-41.6,-51.0,90.0,70.7,0.6,12.8,-47.7,-47.7,100.0,83.3,12.9,2.5
2022-09-27 00:15:00,0.99,41.2,193.0,200.8,-38.1,-36.7,-37.4,90.0,67.8,18.0,6.5,-38.5,-55.1,-46.8,73.0,40.3,1.5,17.1,-60.3,-41.6,-50.9,90.0,70.4,0.6,12.8,-47.7,-47.7,100.0,83.2,12.6,2.5
2022-09-27 00:16:00,0.984,41.2,195.0,199.7,-38.1,-36.7,-37.4,90.0,68.1,17.7,6.6,-38.6,-55.1,-46.9,73.0,40.1,1.3,17.3,-60.3,-41.6,-51.0,90.0,71.0,0.6,12.7,-47.7,-47.7,100.0,83.0,12.7,2.5
2022-09-27 00:17:00,0.982,41.2,196.0,200.6,-38.1,-36.6,-37.4,90.0,67.9,17.6,6.6,-38.6,-55.1,-46.9,73.0,40.3,1.5,17.5,-60.3,-41.6,-51.0,90.0,70.7,0.6,12.6,-47.7,-47.7,100.0,83.4,12.8,2.5
2022-09-27 00:18:00,0.978,41.2,196.0,199.1,-38.1,-36.7,-37.4,90.0,68.0,18.2,6.5,-38.5,-55.1,-46.8,73.0,40.3,1.4,17.3,-60.3,-41.6,-50.9,90.0,70.3,0.6,12.7,-47.7,-47.7,100.0,83.3,12.7,2.4
2022-09-27 00:19:00,0.968,41.2,196.0,198.6,-38.0,-36.6,-37.3,90.0,68.5,17.8,6.5,-38.5,-55.0,-46.8,73.0,40.2,1.4,17.1,-60.3,-41.6,-51.0,90.0,71.0,0.6,12.8,-47.7,-47.7,100.0,83.6,12.6,2.5
2022-09-27 00:20:00,0.962,41.1,162.0,198.5,-38.0,-36.7,-37.3,90.0,68.0,17.8,6.5,-38.5,-55.1,-46.8,73.0,40.2,1.5,17.1,-60.3,-41.6,-51.0,90.0,70.6,0.6,12.8,-47.7,-47.7,100.0,83.3,12.3,2.4
2022-09-27 00:21:00,0.956,41.1,170.0,198.9,-38.0,-36.7,-37.3,90.0,68.0,17.9,6.5,-38.5,-55.0,-46.8,73.0,40.0,1.3,17.0,-60.3,-41.5,-50.9,90.0,71.1,0.6,12.9,-47.7,-47.7,100.0,83.2,12.5,2.5
2022-09-27 00:22:00,0.956,41.1,169.0,198.5,-38.0,-36.6,-37.3,90.0,68.3,17.8,6.5,-38.5,-55.1,-46.8,73.0,40.2,1.5,17.3,-60.3,-41.6,-51.0,90.0,71.0,0.6,12.7,-47.7,-47.7,100.0,82.8,12.7,2.4
2022-09-27 00:23:00,0.974,41.1,170.0,199.8,-38.0,-36.7,-37.3,90.0,68.3,17.9,6.5,-38.5,-55.1,-46.8,73.0,40.2,1.4,17.1,-60.3,-41.6,-51.0,90.0,71.2,0.6,12.8,-47.7,-47.7,100.0,83.2,12.8,2.5
2022-09-27 00:24:00,0.982,41.1,170.0,198.5,-38.0,-36.6,-37.3,90.0,68.1,17.8,6.6,-38.5,-55.1,-46.8,73.0,40.0,1.5,17.5,-60.4,-41.6,-51.0,90.0,70.2,0.6,12.7,-47.7,-47.7,100.0,83.0,12.6,2.4
2022-09-27 00:25:00,0.988,41.0,170.0,199.2,-38.1,-36.7,-37.4,90.0,68.0,18.1,6.5,-38.6,-55.1,-46.8,73.0,40.3,1.4,17.7,-60.4,-41.6,-51.0,90.0,70.5,0.6,12.7,-47.7,-47.7,100.0,83.1,12.7,2.4
2022-09-27 00:26:00,0.982,41.0,170.0,200.2,-38.0,-36.6,-37.3,90.0,68.1,17.8,6.5,-38.6,-55.1,-46.9,73.0,40.2,1.5,17.6,-60.3,-41.5,-50.9,90.0,71.0,0.6,12.9,-47.7,-47.7,100.0,83.1,13.0,2.4
2022-09-27 00:27:00,0.983,41.1,170.0,197.8,-38.0,-36.6,-37.3,90.0,68.0,17.7,6.5,-38.6,-55.1,-46.8,73.0,40.3,1.4,17.1,-60.3,-41.6,-51.0,90.0,70.5,0.6,12.7,-47.7,-47.7,100.0,82.9,12.7,2.4
2022-09-27 00:28:00,0.99,41.1,171.0,198.5,-37.8,-36.6,-37.2,90.0,68.7,17.7,6.4,-38.6,-55.1,-46.8,73.0,40.3,1.4,17.8,-60.3,-41.6,-51.0,90.0,70.9,0.6,12.7,-47.7,-47.7,100.0,82.9,12.8,2.5
2022-09-27 00:29:00,0.969,41.1,171.0,196.7,-37.7,-36.5,-37.1,90.0,69.4,18.1,6.5,-38.6,-55.1,-46.8,73.0,40.2,1.1,17.5,-60.3,-41.6,-51.0,90.0,70.9,0.6,12.8,-47.8,-47.8,100.0,83.2,12.9,2.6
2022-09-27 00:30:00,0.974,41.1,171.0,197.2,-37.6,-36.6,-37.1,90.0,69.3,17.9,6.4,-38.6,-55.0,-46.8,73.0,40.3,1.3,17.6,-60.3,-41.5,-50.9,90.0,70.8,0.6,12.7,-47.7,-47.7,100.0,83.0,12.9,2.4
2022-09-27 00:31:00,0.995,41.1,171.0,196.9,-37.7,-36.6,-37.1,90.0,68.9,17.9,6.5,-38.6,-55.0,-46.8,73.0,40.3,1.4,17.4,-60.3,-41.5,-50.9,90.0,70.4,0.6,12.7,-47.8,-47.8,100.0,82.9,12.8,2.4
