Hourly_Production,#1_Turbine_Motor_Side_Pressure,#1_Turbine_Free_Side_Pressure,#1_Turbine_Negative_Pressure,#1_Turbine_Negative_Pressure.1,#1_Turbine_Main_Motor_Current,#1_Vacuum_Pump_Motor_Side_Vibration,#1_Vacuum_Pump_Free_Side_Vibration,#2_Turbine_Motor_Side_Pressure,#2_Turbine_Free_Side_Pressure,#2_Turbine_Negative_Pressure,#2_Turbine_Negative_Pressure.1,#2_Turbine_Main_Motor_Current,#2_Vacuum_Pump_Motor_Side_Vibration,#2_Vacuum_Pump_Free_Side_Vibration,#3_Turbine_Motor_Side_Pressure,#3_Turbine_Free_Side_Pressure,#3_Turbine_Negative_Pressure,#3_Turbine_Negative_Pressure.1,#3_Turbine_Main_Motor_Current,#3_Vacuum_Pump_Motor_Side_Vibration,#3_Vacuum_Pump_Free_Side_Vibration,#4_Turbine_Free_Side_Pressure,#4_Turbine_Negative_Pressure,#4_Turbine_Negative_Pressure.1,#4_Turbine_Main_Motor_Current,#4_Vacuum_Pump_Motor_Side_Vibration,#4_Vacuum_Pump_Free_Side_Vibration
44.589999999999996,-37.470000000000006,-39.53,-38.5,92.0,68.42999999999999,13.65,6.540000000000001,-50.15,-62.230000000000004,-56.2,90.0,56.080000000000005,1.6,22.02,-57.9,-42.269999999999996,-50.09,91.0,79.96000000000001,0.5,13.780000000000001,-52.2,-52.2,100.0,74.44000000000001,12.2,3.3199999999999994
43.5,-28.630000000000003,-38.36,-33.5,89.0,78.64,15.320000000000002,7.24,-48.89999999999999,-62.21,-55.6,88.0,52.1,1.6,20.19,-56.46,-43.15,-49.81999999999999,93.0,88.77000000000001,0.6,13.7,-47.089999999999996,-47.089999999999996,100.0,87.59,13.189999999999998,2.9
34.35,-29.85,-38.83,-34.309999999999995,91.0,81.47,13.75,6.16,-50.309999999999995,-62.239999999999995,-56.27,90.0,57.67,1.6,22.0,-59.65,-43.86,-51.760000000000005,94.0,79.8,0.5700000000000001,12.709999999999999,-52.65,-52.65,100.0,64.78,12.2,3.3899999999999997
42.17,-35.39,-34.27,-34.82,86.5,64.95,16.759999999999998,7.769999999999999,-32.65,-49.290000000000006,-40.99,73.0,37.660000000000004,1.56,18.53,-54.89,-42.14,-48.53,91.0,87.49,0.7,14.790000000000001,-44.25,-44.25,100.0,91.88000000000001,12.319999999999997,2.6499999999999995
44.309999999999995,-38.230000000000004,-37.68,-37.94,92.0,66.86999999999999,13.540000000000001,6.5600000000000005,-50.2,-62.36999999999999,-56.3,90.0,55.95,1.61,21.97,-57.330000000000005,-42.260000000000005,-49.78,91.0,80.86,0.5,14.12,-52.27,-52.27,100.0,74.92,12.2,3.2299999999999995
41.65,-29.369999999999997,-38.470000000000006,-33.92,91.0,80.41,14.66,6.5,-49.02,-61.82000000000001,-55.45,88.0,52.989999999999995,1.5350000000000001,20.11,-51.42999999999999,-38.41,-44.92,86.0,87.45,0.6,16.72,-50.489999999999995,-50.489999999999995,100.0,82.1,13.2,3.2399999999999998
43.55,-36.81,-35.36,-36.089999999999996,93.0,70.41,13.76,6.04,-50.3,-62.44000000000001,-56.379999999999995,90.0,56.18000000000001,1.6,21.220000000000002,-59.25,-42.660000000000004,-50.95,92.0,75.69,0.6,12.709999999999999,-52.6,-52.6,100.0,72.64,12.2,3.2699999999999996
37.910000000000004,-36.95,-30.860000000000003,-33.91,85.0,56.04,17.93,11.024999999999999,-35.39999999999999,-49.87,-42.65,70.0,45.839999999999996,1.6300000000000001,15.16,-45.54499999999999,-37.41499999999999,-41.83999999999999,83.0,80.08,0.7,17.735,-48.489999999999995,-48.489999999999995,100.0,84.26,12.3,2.54
38.5,-26.640000000000004,-36.660000000000004,-31.65,90.0,86.99000000000001,13.580000000000002,6.5,-49.89999999999999,-62.2,-56.04,90.0,59.510000000000005,1.6,21.46,-54.919999999999995,-42.25,-48.589999999999996,92.0,90.22,0.6,13.75,-48.84,-48.84,100.0,82.95,12.2,3.17
37.84,-37.48,-35.349999999999994,-36.39,87.0,51.839999999999996,14.98,8.25,-49.89999999999999,-62.379999999999995,-56.15,90.0,56.760000000000005,1.59,21.110000000000003,-58.02,-42.83,-50.44,92.0,79.02000000000001,0.7,12.9,-52.39,-52.39,100.0,72.52,12.09,2.5999999999999996
