time,Gas_for_paper,Hourly_Production,Total_water,Quantitative_measurement_of_coiling_scan_frame,#1_Turbine_Motor_Side_Pressure,#1_Turbine_Free_Side_Pressure,#1_Turbine_Negative_Pressure,#1_Turbine_Negative_Pressure.1,#1_Turbine_Main_Motor_Current,#1_Vacuum_Pump_Motor_Side_Vibration,#1_Vacuum_Pump_Free_Side_Vibration,#2_Turbine_Motor_Side_Pressure,#2_Turbine_Free_Side_Pressure,#2_Turbine_Negative_Pressure,#2_Turbine_Negative_Pressure.1,#2_Turbine_Main_Motor_Current,#2_Vacuum_Pump_Motor_Side_Vibration,#2_Vacuum_Pump_Free_Side_Vibration,#3_Turbine_Motor_Side_Pressure,#3_Turbine_Free_Side_Pressure,#3_Turbine_Negative_Pressure,#3_Turbine_Negative_Pressure.1,#3_Turbine_Main_Motor_Current,#3_Vacuum_Pump_Motor_Side_Vibration,#3_Vacuum_Pump_Free_Side_Vibration,#4_Turbine_Free_Side_Pressure,#4_Turbine_Negative_Pressure,#4_Turbine_Negative_Pressure.1,#4_Turbine_Main_Motor_Current,#4_Vacuum_Pump_Motor_Side_Vibration,#4_Vacuum_Pump_Free_Side_Vibration
2022-08-20 13:23:00,1.028,41.1,63.0,234.7,-30.1,-32.7,-31.4,85.0,78.1,17.8,8.4,-31.4,-48.0,-39.7,72.0,37.1,1.6,19.3,-60.4,-43.3,-51.9,93.0,76.2,0.7,11.9,-47.3,-47.3,100.0,86.1,12.3,2.8
2022-08-20 13:24:00,1.054,41.1,63.0,231.9,-30.0,-32.6,-31.3,85.0,78.3,17.8,8.2,-31.4,-47.9,-39.7,72.0,37.9,1.6,18.6,-60.5,-43.3,-51.9,93.0,76.5,0.8,12.0,-47.3,-47.3,100.0,85.9,12.3,2.6
2022-08-20 13:25:00,1.033,41.1,120.0,231.1,-30.0,-32.7,-31.3,85.0,78.2,17.7,8.2,-31.6,-48.1,-39.8,72.0,38.5,1.6,18.3,-60.5,-43.4,-51.9,93.0,76.7,0.7,11.9,-47.3,-47.3,100.0,85.7,12.3,2.5
2022-08-20 13:26:00,1.024,41.1,144.0,232.5,-30.0,-32.7,-31.3,85.0,78.1,17.9,8.4,-31.8,-48.1,-40.0,72.0,38.0,1.6,18.3,-60.4,-43.4,-51.9,93.0,76.3,0.7,12.1,-47.3,-47.3,100.0,85.7,12.3,2.6
2022-08-20 13:27:00,1.003,41.1,146.0,232.3,-29.8,-32.6,-31.2,85.0,78.1,17.8,8.3,-32.1,-48.3,-40.2,72.0,38.8,1.6,18.3,-60.5,-43.3,-51.9,93.0,75.6,0.7,12.1,-47.3,-47.3,100.0,86.0,12.3,2.6
2022-08-20 13:28:00,1.01,41.1,146.0,231.5,-29.8,-32.6,-31.2,85.0,78.4,18.0,8.2,-32.1,-48.3,-40.2,72.0,38.4,1.6,18.3,-60.5,-43.3,-51.9,93.0,76.0,0.7,12.0,-47.3,-47.3,100.0,86.0,12.3,2.8
2022-08-20 13:29:00,1.016,41.0,146.0,233.0,-29.7,-32.6,-31.2,85.0,78.5,17.8,8.4,-32.3,-48.4,-40.3,72.0,38.4,1.6,17.9,-60.5,-43.3,-51.9,93.0,75.9,0.8,11.9,-47.3,-47.3,100.0,85.5,12.3,2.6
2022-08-20 13:30:00,1.017,41.0,146.0,231.3,-29.6,-32.6,-31.1,85.0,78.8,17.8,8.4,-32.2,-48.7,-40.4,72.0,37.6,1.5,17.5,-60.5,-43.3,-51.9,93.0,76.4,0.7,11.9,-47.3,-47.3,100.0,85.4,12.3,2.6
2022-08-20 13:31:00,1.027,41.0,146.0,229.8,-29.6,-32.7,-31.1,85.0,78.6,17.9,8.3,-32.3,-48.7,-40.5,72.0,37.2,1.6,17.6,-60.5,-43.3,-51.9,93.0,76.5,0.7,12.4,-47.3,-47.3,100.0,85.6,12.3,3.0
2022-08-20 13:32:00,1.042,41.0,146.0,232.6,-29.6,-32.7,-31.1,85.0,79.0,17.8,8.2,-32.2,-48.7,-40.4,72.0,36.5,1.6,17.2,-60.5,-43.4,-51.9,93.0,76.4,0.8,12.2,-47.3,-47.3,100.0,85.8,12.3,2.7
