B_BLNO,120,,,,8,8,8,8,8,8,8,8
B_PERD,120,,,,60,60,60,60,60,60,60,60
B_SMPL,120,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,120,,,,R,R,R,R,R,R,R,R
P_ITEM,120,,,,37VJ583-PI.PV,37VJ603-PI.PV,37VD430-PC.PV,37VD430-PC.MV,37VD430-CUR.PV,,37VJ434-ZT01.PV,37VJ435-ZT02.PV
P_CMNT,120,,,,#3透平機電機側壓力,#3透平機自由側壓力,#3透平機負壓,#3透平機負壓,#3透平機主馬達電流,,#3真空泵電機側振動,#3真空泵自由側振動
P_DPLO,120,,,,-100.0,-100.0,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,120,,,,0.0,0.0,0.0,100.0,100.0,,200.0,200.0
P_DPDP,120,,,,1,1,1,1,1,,1,1
P_EUNT,120,,,,kPa,kPa,kPa,%,%,,um,um
P_TYPE,120,,,,Analog,Analog,Analog,Analog,Analog,,Analog,Analog
G_STAT,120,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,120,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,120,2022-06-28,14:01:00,台北標準時間,-54.5,-41.8,-48.2,91.0,85.9,,0.7,14.8
D,120,2022-06-28,14:02:00,台北標準時間,-54.2,-41.6,-47.9,91.0,86.3,,0.7,14.7
D,120,2022-06-28,14:03:00,台北標準時間,-54.3,-41.6,-47.9,91.0,86.0,,0.7,14.9
D,120,2022-06-28,14:04:00,台北標準時間,-54.4,-41.7,-48.1,91.0,85.7,,0.7,14.7
D,120,2022-06-28,14:05:00,台北標準時間,-54.2,-41.7,-47.9,91.0,86.6,,0.7,14.8
D,120,2022-06-28,14:06:00,台北標準時間,-54.1,-41.6,-47.9,91.0,86.9,,0.7,14.7
D,120,2022-06-28,14:07:00,台北標準時間,-54.3,-41.7,-48.0,91.0,86.6,,0.7,14.8
D,120,2022-06-28,14:08:00,台北標準時間,-54.3,-41.7,-48.0,91.0,86.9,,0.7,14.7
D,120,2022-06-28,14:09:00,台北標準時間,-54.8,-41.8,-48.3,91.0,86.1,,0.7,14.8
D,120,2022-06-28,14:10:00,台北標準時間,-54.1,-41.6,-47.9,91.0,87.2,,0.7,14.7
D,120,2022-06-28,14:11:00,台北標準時間,-54.3,-41.6,-48.0,91.0,86.6,,0.7,14.7
D,120,2022-06-28,14:12:00,台北標準時間,-54.6,-41.8,-48.2,91.0,86.2,,0.7,14.7
D,120,2022-06-28,14:13:00,台北標準時間,-54.4,-41.7,-48.0,91.0,86.3,,0.7,14.7
D,120,2022-06-28,14:14:00,台北標準時間,-54.4,-41.7,-48.1,91.0,86.7,,0.7,14.8
D,120,2022-06-28,14:15:00,台北標準時間,-54.5,-41.7,-48.1,91.0,86.2,,0.7,14.8
D,120,2022-06-28,14:16:00,台北標準時間,-54.5,-41.7,-48.1,91.0,86.1,,0.7,14.7
D,120,2022-06-28,14:17:00,台北標準時間,-54.5,-41.7,-48.1,91.0,86.2,,0.7,14.8
D,120,2022-06-28,14:18:00,台北標準時間,-54.5,-41.7,-48.1,91.0,86.1,,0.7,14.8
D,120,2022-06-28,14:19:00,台北標準時間,-54.5,-41.7,-48.1,91.0,86.1,,0.7,14.7
