B_BLNO,114,,,,8,8,8,8,8,8,8,8
B_PERD,114,,,,60,60,60,60,60,60,60,60
B_SMPL,114,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,114,,,,R,R,R,R,R,R,R,R
P_ITEM,114,,,,REPORT062-6.PV,37QCS-AI10.PV,37XJ012_051.CPV,37QCS-AI04.PV,,,,
P_CMNT,114,,,,頓紙用氣,每小時生產量,清水總量,卷取掃描架定量測量值,,,,
P_DPLO,114,,,,0.000,0.0,0,0.0,,,,
P_DPHI,114,,,,10.000,100.0,9999999,260.0,,,,
P_DPDP,114,,,,3,1,0,1,,,,
P_EUNT,114,,,,T/H,T/H,M3/H,gsm,,,,
P_TYPE,114,,,,Analog,Analog,Analog,Analog,,,,
G_STAT,114,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,114,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,114,2022-07-03,00:01:00,台北標準時間,1.145,38.1,103,115.7,,,,
D,114,2022-07-03,00:02:00,台北標準時間,1.153,38.1,103,115.5,,,,
D,114,2022-07-03,00:03:00,台北標準時間,1.159,38.1,103,115.6,,,,
D,114,2022-07-03,00:04:00,台北標準時間,1.147,38.1,103,115.6,,,,
D,114,2022-07-03,00:05:00,台北標準時間,1.127,38.1,103,115.6,,,,
D,114,2022-07-03,00:06:00,台北標準時間,1.123,38.1,104,114.5,,,,
D,114,2022-07-03,00:07:00,台北標準時間,1.124,38.1,106,114.5,,,,
D,114,2022-07-03,00:08:00,台北標準時間,1.126,38.1,108,114.5,,,,
D,114,2022-07-03,00:09:00,台北標準時間,1.128,38.1,108,115.1,,,,
D,114,2022-07-03,00:10:00,台北標準時間,1.137,38.1,107,115.1,,,,
D,114,2022-07-03,00:11:00,台北標準時間,1.159,38.1,105,115.8,,,,
D,114,2022-07-03,00:12:00,台北標準時間,1.146,38.1,34,115.9,,,,
D,114,2022-07-03,00:13:00,台北標準時間,1.140,38.1,29,116.4,,,,
D,114,2022-07-03,00:14:00,台北標準時間,1.156,38.1,29,117.1,,,,
D,114,2022-07-03,00:15:00,台北標準時間,1.153,38.1,28,117.3,,,,
D,114,2022-07-03,00:16:00,台北標準時間,1.152,38.1,28,116.4,,,,
D,114,2022-07-03,00:17:00,台北標準時間,1.157,38.1,28,116.8,,,,
D,114,2022-07-03,00:18:00,台北標準時間,1.134,38.1,29,115.8,,,,
D,114,2022-07-03,00:19:00,台北標準時間,1.115,38.1,29,115.8,,,,
D,114,2022-07-03,00:20:00,台北標準時間,1.117,38.1,28,115.0,,,,
D,114,2022-07-03,00:21:00,台北標準時間,1.131,38.1,28,116.1,,,,
D,114,2022-07-03,00:22:00,台北標準時間,1.138,38.1,27,115.6,,,,
D,114,2022-07-03,00:23:00,台北標準時間,1.137,38.1,26,115.6,,,,
D,114,2022-07-03,00:24:00,台北標準時間,1.141,38.1,27,115.9,,,,
D,114,2022-07-03,00:25:00,台北標準時間,1.144,38.1,28,115.5,,,,
D,114,2022-07-03,00:26:00,台北標準時間,1.149,38.1,28,115.9,,,,
D,114,2022-07-03,00:27:00,台北標準時間,1.147,38.1,93,115.5,,,,
D,114,2022-07-03,00:28:00,台北標準時間,1.150,38.1,105,115.8,,,,
D,114,2022-07-03,00:29:00,台北標準時間,1.150,38.1,109,115.3,,,,
D,114,2022-07-03,00:30:00,台北標準時間,1.147,38.1,112,115.8,,,,
D,114,2022-07-03,00:31:00,台北標準時間,1.138,38.1,115,114.7,,,,
D,114,2022-07-03,00:32:00,台北標準時間,1.129,38.1,114,114.7,,,,
D,114,2022-07-03,00:33:00,台北標準時間,1.126,38.1,113,114.7,,,,
D,114,2022-07-03,00:34:00,台北標準時間,1.126,38.1,112,114.0,,,,
D,114,2022-07-03,00:35:00,台北標準時間,1.124,38.1,110,114.2,,,,
D,114,2022-07-03,00:36:00,台北標準時間,1.122,38.1,107,114.0,,,,
D,114,2022-07-03,00:37:00,台北標準時間,1.146,38.1,105,113.9,,,,
