B_BLNO,120,,,,8,8,8,8,8,8,8,8
B_PERD,120,,,,60,60,60,60,60,60,60,60
B_SMPL,120,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,120,,,,R,R,R,R,R,R,R,R
P_ITEM,120,,,,37VJ583-PI.PV,37VJ603-PI.PV,37VD430-PC.PV,37VD430-PC.MV,37VD430-CUR.PV,,37VJ434-ZT01.PV,37VJ435-ZT02.PV
P_CMNT,120,,,,#3透平機電機側壓力,#3透平機自由側壓力,#3透平機負壓,#3透平機負壓,#3透平機主馬達電流,,#3真空泵電機側振動,#3真空泵自由側振動
P_DPLO,120,,,,-100.0,-100.0,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,120,,,,0.0,0.0,0.0,100.0,100.0,,200.0,200.0
P_DPDP,120,,,,1,1,1,1,1,,1,1
P_EUNT,120,,,,kPa,kPa,kPa,%,%,,um,um
P_TYPE,120,,,,Analog,Analog,Analog,Analog,Analog,,Analog,Analog
G_STAT,120,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,120,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,120,2022-05-25,14:06:00,台北標準時間,-57.0,-42.3,-49.7,91.0,83.0,,0.7,13.0
D,120,2022-05-25,14:07:00,台北標準時間,-57.0,-42.3,-49.7,91.0,83.0,,0.7,13.2
D,120,2022-05-25,14:08:00,台北標準時間,-56.9,-42.3,-49.6,91.0,83.2,,0.7,13.4
D,120,2022-05-25,14:09:00,台北標準時間,-56.9,-42.3,-49.6,91.0,83.7,,0.7,13.2
D,120,2022-05-25,14:10:00,台北標準時間,-57.0,-42.3,-49.6,91.0,83.0,,0.7,13.0
D,120,2022-05-25,14:11:00,台北標準時間,-56.9,-42.4,-49.6,91.0,83.3,,0.7,13.2
D,120,2022-05-25,14:12:00,台北標準時間,-56.8,-42.3,-49.6,91.0,83.7,,0.7,13.5
D,120,2022-05-25,14:13:00,台北標準時間,-56.8,-42.3,-49.5,91.0,83.8,,0.7,13.4
D,120,2022-05-25,14:14:00,台北標準時間,-56.9,-42.3,-49.6,91.0,83.7,,0.7,13.2
D,120,2022-05-25,14:15:00,台北標準時間,-56.8,-42.3,-49.5,91.0,83.8,,0.7,13.5
D,120,2022-05-25,14:16:00,台北標準時間,-56.8,-42.3,-49.6,91.0,83.7,,0.7,13.3
D,120,2022-05-25,14:17:00,台北標準時間,-56.9,-42.3,-49.6,91.0,83.2,,0.7,13.4
D,120,2022-05-25,14:18:00,台北標準時間,-56.9,-42.3,-49.6,91.0,83.5,,0.7,13.5
D,120,2022-05-25,14:19:00,台北標準時間,-56.8,-42.3,-49.6,91.0,83.3,,0.7,13.4
D,120,2022-05-25,14:20:00,台北標準時間,-56.8,-42.3,-49.6,91.0,83.4,,0.7,13.2
D,120,2022-05-25,14:21:00,台北標準時間,-56.8,-42.3,-49.6,91.0,83.1,,0.7,13.5
D,120,2022-05-25,14:22:00,台北標準時間,-56.8,-42.3,-49.6,91.0,83.6,,0.7,13.6
D,120,2022-05-25,14:23:00,台北標準時間,-56.8,-42.3,-49.5,91.0,83.8,,0.7,13.2
D,120,2022-05-25,14:24:00,台北標準時間,-56.6,-42.3,-49.5,91.0,83.9,,0.7,13.5
