B_BLNO,118,,,,8,8,8,8,8,8,8,8
B_PERD,118,,,,60,60,60,60,60,60,60,60
B_SMPL,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,118,,,,R,R,R,R,R,R,R,R
P_ITEM,118,,,,37VJ503-PI.PV,37VJ523-PI.PV,37VD410-PC.PV,37VD410-PC.MV,37VD410-CUR.PV,37VJ416-ZT01.PV,37VJ417-ZT02.PV,
P_CMNT,118,,,,#1透平機電機側壓力,#1透平機自由側壓力,#1透平機負壓,#1透平機負壓,#1透平機主馬達電流,#1真空泵電機側振動,#1真空泵自由側振動,
P_DPLO,118,,,,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,
P_DPHI,118,,,,0.0,0.0,0.0,100.0,100.0,200.0,200.0,
P_DPDP,118,,,,1,1,1,1,1,1,1,
P_EUNT,118,,,,kPa,kPa,kPa,%,%,um,um,
P_TYPE,118,,,,Analog,Analog,Analog,Analog,Analog,Analog,Analog,
G_STAT,118,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,118,2022-05-25,14:06:00,台北標準時間,-32.3,-40.4,-36.3,93.0,79.4,12.2,5.6,
D,118,2022-05-25,14:07:00,台北標準時間,-32.5,-40.4,-36.4,93.0,79.1,11.8,5.6,
D,118,2022-05-25,14:08:00,台北標準時間,-32.7,-40.3,-36.5,93.0,78.7,11.8,5.6,
D,118,2022-05-25,14:09:00,台北標準時間,-33.0,-40.3,-36.7,93.0,78.6,11.8,5.5,
D,118,2022-05-25,14:10:00,台北標準時間,-33.1,-40.3,-36.7,93.0,78.5,11.9,5.7,
D,118,2022-05-25,14:11:00,台北標準時間,-33.1,-40.3,-36.7,93.0,78.5,12.0,6.0,
D,118,2022-05-25,14:12:00,台北標準時間,-32.9,-40.3,-36.6,93.0,78.8,11.8,5.5,
D,118,2022-05-25,14:13:00,台北標準時間,-32.3,-40.2,-36.3,93.0,79.8,12.1,6.0,
D,118,2022-05-25,14:14:00,台北標準時間,-32.0,-40.3,-36.2,93.0,79.6,11.6,5.9,
D,118,2022-05-25,14:15:00,台北標準時間,-32.0,-40.3,-36.1,93.0,80.0,12.2,5.9,
D,118,2022-05-25,14:16:00,台北標準時間,-32.1,-40.3,-36.2,93.0,79.9,11.9,5.6,
D,118,2022-05-25,14:17:00,台北標準時間,-32.1,-40.3,-36.2,93.0,79.6,12.2,5.6,
D,118,2022-05-25,14:18:00,台北標準時間,-32.2,-40.4,-36.3,93.0,79.8,11.7,5.5,
D,118,2022-05-25,14:19:00,台北標準時間,-32.3,-40.3,-36.3,93.0,79.1,11.8,5.5,
D,118,2022-05-25,14:20:00,台北標準時間,-32.7,-40.3,-36.5,93.0,79.0,12.0,5.9,
D,118,2022-05-25,14:21:00,台北標準時間,-32.9,-40.3,-36.6,93.0,78.7,11.7,5.4,
D,118,2022-05-25,14:22:00,台北標準時間,-33.1,-40.3,-36.7,93.0,78.7,11.7,5.5,
D,118,2022-05-25,14:23:00,台北標準時間,-33.2,-40.3,-36.7,93.0,78.5,11.8,5.9,
D,118,2022-05-25,14:24:00,台北標準時間,-33.2,-40.3,-36.7,93.0,78.8,11.7,5.6,
D,118,2022-05-25,14:25:00,台北標準時間,-32.8,-40.3,-36.6,93.0,79.1,11.8,5.5,
D,118,2022-05-25,14:26:00,台北標準時間,-32.4,-40.3,-36.3,93.0,79.5,11.7,5.5,
D,118,2022-05-25,14:27:00,台北標準時間,-32.3,-40.3,-36.3,93.0,79.5,12.2,5.5,
D,118,2022-05-25,14:28:00,台北標準時間,-32.4,-40.4,-36.4,93.0,79.4,11.8,5.5,
D,118,2022-05-25,14:29:00,台北標準時間,-32.5,-40.3,-36.4,93.0,79.3,11.7,5.6,
D,118,2022-05-25,14:30:00,台北標準時間,-32.5,-40.3,-36.4,93.0,79.4,11.9,5.5,
D,118,2022-05-25,14:31:00,台北標準時間,-32.5,-40.3,-36.4,93.0,79.5,11.8,5.5,
D,118,2022-05-25,14:32:00,台北標準時間,-32.9,-40.3,-36.6,93.0,79.3,12.4,5.5,
D,118,2022-05-25,14:33:00,台北標準時間,-33.2,-40.3,-36.7,93.0,78.8,11.7,5.6,
D,118,2022-05-25,14:34:00,台北標準時間,-33.3,-40.2,-36.7,93.0,78.7,11.8,5.5,
D,118,2022-05-25,14:35:00,台北標準時間,-33.5,-40.3,-36.9,93.0,78.3,11.8,5.5,
D,118,2022-05-25,14:36:00,台北標準時間,-33.5,-40.3,-36.9,93.0,78.3,11.8,5.4,
D,118,2022-05-25,14:37:00,台北標準時間,-33.3,-40.3,-36.8,93.0,78.4,12.5,5.7,
D,118,2022-05-25,14:38:00,台北標準時間,-32.8,-40.3,-36.6,93.0,78.9,12.2,5.6,
D,118,2022-05-25,14:39:00,台北標準時間,-33.0,-40.3,-36.7,93.0,78.7,11.8,5.4,
D,118,2022-05-25,14:40:00,台北標準時間,-33.0,-40.3,-36.6,93.0,78.8,12.0,5.4,
D,118,2022-05-25,14:41:00,台北標準時間,-32.9,-40.3,-36.6,93.0,79.0,12.1,5.5,
D,118,2022-05-25,14:42:00,台北標準時間,-32.9,-40.3,-36.6,93.0,78.8,11.7,5.4,
D,118,2022-05-25,14:43:00,台北標準時間,-32.8,-40.3,-36.6,93.0,78.9,11.9,5.4,
D,118,2022-05-25,14:44:00,台北標準時間,-32.9,-40.3,-36.6,93.0,78.6,11.6,5.6,
D,118,2022-05-25,14:45:00,台北標準時間,-32.9,-40.3,-36.6,93.0,78.8,11.9,5.5,
D,118,2022-05-25,14:46:00,台北標準時間,-32.9,-40.2,-36.6,93.0,79.0,11.7,5.5,
D,118,2022-05-25,14:47:00,台北標準時間,-33.0,-40.3,-36.6,93.0,78.7,11.8,5.5,
D,118,2022-05-25,14:48:00,台北標準時間,-33.0,-40.3,-36.7,93.0,78.9,12.1,5.7,
