B_BLNO,118,,,,8,8,8,8,8,8,8,8
B_PERD,118,,,,60,60,60,60,60,60,60,60
B_SMPL,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,118,,,,R,R,R,R,R,R,R,R
P_ITEM,118,,,,37VJ503-PI.PV,37VJ523-PI.PV,37VD410-PC.PV,37VD410-PC.MV,37VD410-CUR.PV,37VJ416-ZT01.PV,37VJ417-ZT02.PV,
P_CMNT,118,,,,#1透平機電機側壓力,#1透平機自由側壓力,#1透平機負壓,#1透平機負壓,#1透平機主馬達電流,#1真空泵電機側振動,#1真空泵自由側振動,
P_DPLO,118,,,,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,
P_DPHI,118,,,,0.0,0.0,0.0,100.0,100.0,200.0,200.0,
P_DPDP,118,,,,1,1,1,1,1,1,1,
P_EUNT,118,,,,kPa,kPa,kPa,%,%,um,um,
P_TYPE,118,,,,Analog,Analog,Analog,Analog,Analog,Analog,Analog,
G_STAT,118,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,118,2022-05-27,00:01:00,台北標準時間,-22.2,-40.8,-31.5,94.0,94.0,13.9,5.5,
D,118,2022-05-27,00:02:00,台北標準時間,-21.8,-40.8,-31.3,94.0,94.6,13.7,5.5,
D,118,2022-05-27,00:03:00,台北標準時間,-21.7,-40.7,-31.2,94.0,95.1,14.0,5.5,
D,118,2022-05-27,00:04:00,台北標準時間,-21.8,-40.8,-31.3,94.0,94.6,13.7,5.4,
D,118,2022-05-27,00:05:00,台北標準時間,-22.0,-40.8,-31.4,94.0,94.1,13.7,5.5,
D,118,2022-05-27,00:06:00,台北標準時間,-21.9,-40.8,-31.4,94.0,94.2,13.7,5.5,
D,118,2022-05-27,00:07:00,台北標準時間,-21.9,-40.8,-31.3,94.0,94.2,13.7,5.5,
D,118,2022-05-27,00:08:00,台北標準時間,-21.9,-40.8,-31.4,94.0,94.5,13.8,5.5,
D,118,2022-05-27,00:09:00,台北標準時間,-21.9,-40.7,-31.3,94.0,94.6,13.8,5.5,
D,118,2022-05-27,00:10:00,台北標準時間,-22.0,-40.8,-31.4,94.0,94.2,13.7,5.5,
D,118,2022-05-27,00:11:00,台北標準時間,-22.0,-40.8,-31.4,94.0,94.2,13.7,5.5,
D,118,2022-05-27,00:12:00,台北標準時間,-22.0,-40.7,-31.3,94.0,94.9,13.7,5.5,
D,118,2022-05-27,00:13:00,台北標準時間,-22.0,-40.8,-31.4,94.0,94.3,13.7,5.5,
D,118,2022-05-27,00:14:00,台北標準時間,-21.8,-40.7,-31.2,94.0,94.7,13.7,5.5,
D,118,2022-05-27,00:15:00,台北標準時間,-21.8,-40.8,-31.3,94.0,94.6,13.7,5.5,
D,118,2022-05-27,00:16:00,台北標準時間,-21.8,-40.8,-31.3,94.0,94.0,13.7,5.5,
D,118,2022-05-27,00:17:00,台北標準時間,-21.8,-40.7,-31.2,94.0,94.6,13.8,5.4,
D,118,2022-05-27,00:18:00,台北標準時間,-21.8,-40.8,-31.3,94.0,94.3,13.7,5.5,
D,118,2022-05-27,00:19:00,台北標準時間,-21.9,-40.8,-31.3,94.0,94.4,13.8,5.5,
D,118,2022-05-27,00:20:00,台北標準時間,-21.8,-40.8,-31.3,94.0,94.5,13.6,5.5,
D,118,2022-05-27,00:21:00,台北標準時間,-21.8,-40.7,-31.3,94.0,94.8,13.7,5.5,
D,118,2022-05-27,00:22:00,台北標準時間,-22.0,-40.7,-31.4,94.0,94.5,13.7,5.5,
D,118,2022-05-27,00:23:00,台北標準時間,-22.2,-40.7,-31.5,94.0,94.3,13.8,5.5,
D,118,2022-05-27,00:24:00,台北標準時間,-22.4,-40.7,-31.6,94.0,94.4,13.8,5.4,
D,118,2022-05-27,00:25:00,台北標準時間,-22.7,-40.7,-31.7,94.0,94.4,13.7,5.5,
D,118,2022-05-27,00:26:00,台北標準時間,-22.7,-40.7,-31.7,94.0,94.1,13.8,5.5,
D,118,2022-05-27,00:27:00,台北標準時間,-22.7,-40.7,-31.7,94.0,94.2,13.7,5.5,
D,118,2022-05-27,00:28:00,台北標準時間,-22.9,-40.8,-31.9,94.0,93.6,13.7,5.5,
D,118,2022-05-27,00:29:00,台北標準時間,-23.2,-40.7,-32.0,94.0,93.9,13.7,5.4,
D,118,2022-05-27,00:30:00,台北標準時間,-23.3,-40.7,-32.0,94.0,93.8,13.7,5.4,
D,118,2022-05-27,00:31:00,台北標準時間,-23.5,-40.8,-32.1,94.0,93.4,13.7,5.4,
D,118,2022-05-27,00:32:00,台北標準時間,-23.6,-40.7,-32.1,94.0,93.4,13.8,5.5,
D,118,2022-05-27,00:33:00,台北標準時間,-23.7,-40.7,-32.2,94.0,93.5,13.8,5.5,
D,118,2022-05-27,00:34:00,台北標準時間,-23.8,-40.7,-32.2,94.0,93.6,13.9,5.5,
D,118,2022-05-27,00:35:00,台北標準時間,-23.9,-40.7,-32.3,94.0,93.6,13.7,5.4,
D,118,2022-05-27,00:36:00,台北標準時間,-23.9,-40.7,-32.3,94.0,93.5,13.9,5.4,
D,118,2022-05-27,00:37:00,台北標準時間,-24.1,-40.7,-32.4,94.0,93.8,13.7,5.5,
D,118,2022-05-27,00:38:00,台北標準時間,-23.9,-40.7,-32.3,94.0,93.9,13.8,5.4,
D,118,2022-05-27,00:39:00,台北標準時間,-23.8,-40.7,-32.2,94.0,93.4,13.8,5.4,
D,118,2022-05-27,00:40:00,台北標準時間,-24.0,-40.7,-32.4,94.0,93.2,13.8,5.4,
D,118,2022-05-27,00:41:00,台北標準時間,-24.1,-40.7,-32.4,94.0,93.4,13.7,5.5,
D,118,2022-05-27,00:42:00,台北標準時間,-24.1,-40.6,-32.4,94.0,93.6,14.0,5.4,
D,118,2022-05-27,00:43:00,台北標準時間,-24.3,-40.7,-32.5,94.0,93.0,13.7,5.5,
