B_BLNO,118,,,,8,8,8,8,8,8,8,8
B_PERD,118,,,,60,60,60,60,60,60,60,60
B_SMPL,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,118,,,,R,R,R,R,R,R,R,R
P_ITEM,118,,,,37VJ503-PI.PV,37VJ523-PI.PV,37VD410-PC.PV,37VD410-PC.MV,37VD410-CUR.PV,37VJ416-ZT01.PV,37VJ417-ZT02.PV,
P_CMNT,118,,,,#1透平機電機側壓力,#1透平機自由側壓力,#1透平機負壓,#1透平機負壓,#1透平機主馬達電流,#1真空泵電機側振動,#1真空泵自由側振動,
P_DPLO,118,,,,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,
P_DPHI,118,,,,0.0,0.0,0.0,100.0,100.0,200.0,200.0,
P_DPDP,118,,,,1,1,1,1,1,1,1,
P_EUNT,118,,,,kPa,kPa,kPa,%,%,um,um,
P_TYPE,118,,,,Analog,Analog,Analog,Analog,Analog,Analog,Analog,
G_STAT,118,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,118,2022-07-04,00:01:00,台北標準時間,-26.5,-36.9,-31.7,90.0,86.7,13.7,7.5,
D,118,2022-07-04,00:02:00,台北標準時間,-26.6,-37.0,-31.8,90.0,86.4,13.7,7.5,
D,118,2022-07-04,00:03:00,台北標準時間,-26.7,-36.9,-31.8,90.0,86.4,13.7,7.4,
D,118,2022-07-04,00:04:00,台北標準時間,-26.8,-36.9,-31.9,90.0,86.1,13.7,7.5,
D,118,2022-07-04,00:05:00,台北標準時間,-27.0,-37.0,-32.0,90.0,86.2,13.7,7.5,
D,118,2022-07-04,00:06:00,台北標準時間,-26.9,-36.9,-31.9,90.0,86.4,13.7,7.3,
D,118,2022-07-04,00:07:00,台北標準時間,-27.0,-36.9,-31.9,90.0,86.4,13.7,7.4,
D,118,2022-07-04,00:08:00,台北標準時間,-27.0,-36.9,-31.9,90.0,86.3,13.7,7.4,
D,118,2022-07-04,00:09:00,台北標準時間,-27.1,-37.0,-32.0,90.0,85.6,13.7,7.4,
D,118,2022-07-04,00:10:00,台北標準時間,-27.1,-37.0,-32.1,90.0,85.6,13.7,7.4,
D,118,2022-07-04,00:11:00,台北標準時間,-27.1,-37.0,-32.1,90.0,85.3,13.5,6.9,
D,118,2022-07-04,00:12:00,台北標準時間,-27.1,-37.0,-32.1,90.0,85.1,13.6,7.4,
D,118,2022-07-04,00:13:00,台北標準時間,-26.9,-37.0,-32.0,90.0,85.2,13.6,7.4,
D,118,2022-07-04,00:14:00,台北標準時間,-27.1,-37.2,-32.1,90.0,84.2,13.7,7.3,
D,118,2022-07-04,00:15:00,台北標準時間,-27.1,-37.1,-32.1,90.0,84.2,13.7,7.4,
D,118,2022-07-04,00:16:00,台北標準時間,-27.1,-37.2,-32.1,90.0,84.1,13.7,7.5,
D,118,2022-07-04,00:17:00,台北標準時間,-27.1,-37.1,-32.1,90.0,84.6,13.7,7.4,
D,118,2022-07-04,00:18:00,台北標準時間,-27.0,-37.0,-32.0,90.0,84.7,13.6,7.3,
D,118,2022-07-04,00:19:00,台北標準時間,-27.0,-37.1,-32.1,90.0,84.7,13.7,7.4,
D,118,2022-07-04,00:20:00,台北標準時間,-27.1,-37.2,-32.1,90.0,84.6,13.7,7.4,
D,118,2022-07-04,00:21:00,台北標準時間,-27.0,-37.1,-32.1,90.0,84.2,13.8,7.5,
D,118,2022-07-04,00:22:00,台北標準時間,-27.1,-37.1,-32.1,90.0,84.1,13.7,7.1,
D,118,2022-07-04,00:23:00,台北標準時間,-27.2,-37.2,-32.2,90.0,84.1,13.6,7.4,
D,118,2022-07-04,00:24:00,台北標準時間,-27.0,-37.2,-32.1,90.0,84.0,13.7,7.5,
D,118,2022-07-04,00:25:00,台北標準時間,-26.9,-37.2,-32.0,90.0,84.7,13.7,7.3,
D,118,2022-07-04,00:26:00,台北標準時間,-26.9,-37.1,-32.0,90.0,84.6,13.8,7.3,
D,118,2022-07-04,00:27:00,台北標準時間,-26.9,-37.2,-32.1,90.0,84.2,13.6,7.4,
D,118,2022-07-04,00:28:00,台北標準時間,-27.0,-37.2,-32.1,90.0,84.2,13.7,7.4,
D,118,2022-07-04,00:29:00,台北標準時間,-27.1,-37.2,-32.1,90.0,84.1,13.7,7.5,
D,118,2022-07-04,00:30:00,台北標準時間,-27.0,-37.0,-32.0,90.0,85.0,13.7,7.4,
D,118,2022-07-04,00:31:00,台北標準時間,-27.0,-37.1,-32.0,90.0,84.6,13.7,7.5,
D,118,2022-07-04,00:32:00,台北標準時間,-27.1,-37.1,-32.1,90.0,84.8,13.7,7.4,
D,118,2022-07-04,00:33:00,台北標準時間,-27.1,-37.0,-32.1,90.0,84.3,13.7,7.4,
D,118,2022-07-04,00:34:00,台北標準時間,-27.3,-37.1,-32.2,90.0,84.2,13.7,7.4,
D,118,2022-07-04,00:35:00,台北標準時間,-27.3,-37.1,-32.2,90.0,84.1,13.7,7.5,
D,118,2022-07-04,00:36:00,台北標準時間,-27.1,-37.0,-32.1,90.0,84.6,14.2,7.5,
D,118,2022-07-04,00:37:00,台北標準時間,-27.1,-37.1,-32.1,90.0,84.4,13.7,7.4,
D,118,2022-07-04,00:38:00,台北標準時間,-27.0,-37.1,-32.0,90.0,84.8,14.2,7.5,
D,118,2022-07-04,00:39:00,台北標準時間,-27.1,-37.1,-32.1,90.0,84.4,13.7,7.5,
D,118,2022-07-04,00:40:00,台北標準時間,-27.1,-37.0,-32.1,90.0,85.0,13.7,7.4,
D,118,2022-07-04,00:41:00,台北標準時間,-27.2,-37.1,-32.1,90.0,84.7,13.7,7.5,
D,118,2022-07-04,00:42:00,台北標準時間,-27.2,-37.0,-32.1,90.0,84.9,13.7,7.4,
D,118,2022-07-04,00:43:00,台北標準時間,-27.1,-37.0,-32.1,90.0,84.9,13.7,7.3,
