B_BLNO,118,,,,8,8,8,8,8,8,8,8
B_PERD,118,,,,60,60,60,60,60,60,60,60
B_SMPL,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,118,,,,R,R,R,R,R,R,R,R
P_ITEM,118,,,,37VJ503-PI.PV,37VJ523-PI.PV,37VD410-PC.PV,37VD410-PC.MV,37VD410-CUR.PV,37VJ416-ZT01.PV,37VJ417-ZT02.PV,
P_CMNT,118,,,,#1透平機電機側壓力,#1透平機自由側壓力,#1透平機負壓,#1透平機負壓,#1透平機主馬達電流,#1真空泵電機側振動,#1真空泵自由側振動,
P_DPLO,118,,,,-100,-100,-100,0,0,0,0,
P_DPHI,118,,,,0,0,0,100,100,200,200,
P_DPDP,118,,,,1,1,1,1,1,1,1,
P_EUNT,118,,,,kPa,kPa,kPa,%,%,um,um,
P_TYPE,118,,,,Analog,Analog,Analog,Analog,Analog,Analog,Analog,
G_STAT,118,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,118,2022/5/31,00:01:00,台北標準時間,-33.8,-39.4,-36.6,93,76.4,13.6,7,
D,118,2022/5/31,00:02:00,台北標準時間,-33.7,-39.4,-36.5,93,76.8,13.6,6.8,
D,118,2022/5/31,00:03:00,台北標準時間,-33.7,-39.4,-36.5,93,76.5,13.6,6.9,
D,118,2022/5/31,00:04:00,台北標準時間,-33.6,-39.4,-36.5,93,76.7,13.6,6.6,
D,118,2022/5/31,00:05:00,台北標準時間,-33.6,-39.4,-36.5,93,76.6,13.6,6.8,
D,118,2022/5/31,00:06:00,台北標準時間,-33.5,-39.4,-36.5,93,76.5,13.5,7.3,
D,118,2022/5/31,00:07:00,台北標準時間,-33.5,-39.5,-36.5,93,76.4,13.6,7.3,
D,118,2022/5/31,00:08:00,台北標準時間,-33.6,-39.5,-36.5,93,76.4,13.6,7.3,
D,118,2022/5/31,00:09:00,台北標準時間,-33.5,-39.4,-36.4,93,77,13.3,6.8,
D,118,2022/5/31,00:10:00,台北標準時間,-33.3,-39.3,-36.3,93,77.1,13.2,7.1,
D,118,2022/5/31,00:11:00,台北標準時間,-33.3,-39.3,-36.3,93,77.2,13.6,6.7,
D,118,2022/5/31,00:12:00,台北標準時間,-33.4,-39.3,-36.4,93,77.2,13.4,6.7,
D,118,2022/5/31,00:13:00,台北標準時間,-33.3,-39.3,-36.3,93,77.5,13.1,6.9,
D,118,2022/5/31,00:14:00,台北標準時間,-33.2,-39.3,-36.2,93,77.5,13.5,7.3,
D,118,2022/5/31,00:15:00,台北標準時間,-32.8,-39.2,-36,93,78.5,13.6,7.3,
D,118,2022/5/31,00:16:00,台北標準時間,-32.2,-39.3,-35.7,93,78.8,13.5,6.9,
D,118,2022/5/31,00:17:00,台北標準時間,-32.4,-39.3,-35.9,93,78.8,13.6,6.6,
D,118,2022/5/31,00:18:00,台北標準時間,-32.7,-39.3,-36,93,78.6,13.6,6.6,
D,118,2022/5/31,00:19:00,台北標準時間,-32.7,-39.3,-36,93,78.6,13.4,6.6,
D,118,2022/5/31,00:20:00,台北標準時間,-32.9,-39.3,-36.1,93,78.1,13.2,6.8,
D,118,2022/5/31,00:21:00,台北標準時間,-33,-39.3,-36.1,93,77.9,13.2,6.9,
D,118,2022/5/31,00:22:00,台北標準時間,-33,-39.3,-36.1,93,78,13.4,6.6,
D,118,2022/5/31,00:23:00,台北標準時間,-33,-39.2,-36.1,93,78.2,13.4,6.7,
D,118,2022/5/31,00:24:00,台北標準時間,-33.1,-39.3,-36.2,93,77.9,13.5,6.8,
D,118,2022/5/31,00:25:00,台北標準時間,-33.2,-39.3,-36.3,93,77.8,13.6,6.9,
D,118,2022/5/31,00:26:00,台北標準時間,-33.1,-39.3,-36.2,93,78.1,13.4,7.3,
D,118,2022/5/31,00:27:00,台北標準時間,-32.9,-39.3,-36.1,93,78.6,13.6,7.1,
D,118,2022/5/31,00:28:00,台北標準時間,-32.7,-39.2,-36,93,78.4,13.6,7,
D,118,2022/5/31,00:29:00,台北標準時間,-32.7,-39.2,-35.9,93,78.8,13.4,6.8,
D,118,2022/5/31,00:30:00,台北標準時間,-32.6,-39.2,-35.9,93,78.8,13.5,6.5,
D,118,2022/5/31,00:31:00,台北標準時間,-32.5,-39.2,-35.9,93,79.2,13.6,6.7,
D,118,2022/5/31,00:32:00,台北標準時間,-32.5,-39.2,-35.9,93,79.2,13.2,6.5,
D,118,2022/5/31,00:33:00,台北標準時間,-32.5,-39.2,-35.8,93,79.4,13.1,6.4,
D,118,2022/5/31,00:34:00,台北標準時間,-32.6,-39.2,-35.9,93,79.3,13.3,6.6,
D,118,2022/5/31,00:35:00,台北標準時間,-32.4,-39.1,-35.7,93,80.2,13.6,6.5,
D,118,2022/5/31,00:36:00,台北標準時間,-32.4,-39.2,-35.8,93,79.6,13.5,6.5,
D,118,2022/5/31,00:37:00,台北標準時間,-32.2,-39.2,-35.7,93,80,13.5,6.7,
D,118,2022/5/31,00:38:00,台北標準時間,-32.2,-39.2,-35.7,93,79.8,13.6,7,
D,118,2022/5/31,00:39:00,台北標準時間,-32.1,-39.2,-35.7,93,80.2,13.6,6.7,
D,118,2022/5/31,00:40:00,台北標準時間,-31.8,-39.2,-35.5,93,80.4,13.5,6.9,
D,118,2022/5/31,00:41:00,台北標準時間,-31.8,-39.2,-35.5,93,80.3,13.6,6.5,
D,118,2022/5/31,00:42:00,台北標準時間,-31.9,-39.2,-35.5,93,80.2,13.3,6.5,
D,118,2022/5/31,00:43:00,台北標準時間,-32,-39.3,-35.6,93,80.1,13.6,6.6,
D,118,2022/5/31,00:44:00,台北標準時間,-32,-39.2,-35.6,93,80.3,13.4,6.7,
D,118,2022/5/31,00:45:00,台北標準時間,-32.1,-39.2,-35.7,93,80.2,13.1,7,
D,118,2022/5/31,00:46:00,台北標準時間,-32.3,-39.2,-35.8,93,80.2,13.6,6.6,
