B_BLNO,121,,,,8,8,8,8,8,8,8,8
B_PERD,121,,,,60,60,60,60,60,60,60,60
B_SMPL,121,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,121,,,,R,R,R,R,R,R,R,R
P_ITEM,121,,,,37VJ623-PI.PV,,37VD440-PC.PV,37VD440-PC.MV,37VD440-CUR.PV,,37VJ444-ZT01.PV,37VJ445-ZT02.PV
P_CMNT,121,,,,#4透平機自由側壓力,,#4透平機負壓,#4透平機負壓,#4透平機主馬達電流,,#4真空泵電機側振動,#4真空泵自由側振動
P_DPLO,121,,,,-100.0,,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,121,,,,0.0,,100.0,100.0,100.0,,200.0,200.0
P_DPDP,121,,,,1,,1,1,1,,1,1
P_EUNT,121,,,,kPa,,kPa,%,%,,um,um
P_TYPE,121,,,,Analog,,Analog,Analog,Analog,,Analog,Analog
G_STAT,121,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,121,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,121,2022-08-13,04:34:00,台北標準時間,-50.2,,-50.2,100.0,85.2,,12.1,3.3
D,121,2022-08-13,04:35:00,台北標準時間,-50.2,,-50.2,100.0,85.2,,12.1,3.3
D,121,2022-08-13,04:36:00,台北標準時間,-50.1,,-50.1,100.0,85.7,,12.2,3.3
D,121,2022-08-13,04:37:00,台北標準時間,-50.1,,-50.1,100.0,85.5,,12.2,3.3
D,121,2022-08-13,04:38:00,台北標準時間,-50.1,,-50.1,100.0,85.6,,12.1,3.3
D,121,2022-08-13,04:39:00,台北標準時間,-50.1,,-50.1,100.0,85.4,,12.2,3.3
D,121,2022-08-13,04:40:00,台北標準時間,-50.1,,-50.1,100.0,85.7,,12.2,3.3
D,121,2022-08-13,04:41:00,台北標準時間,-50.0,,-50.0,100.0,85.3,,12.2,3.3
D,121,2022-08-13,04:42:00,台北標準時間,-50.0,,-50.0,100.0,85.7,,12.2,3.4
D,121,2022-08-13,04:43:00,台北標準時間,-49.9,,-49.9,100.0,85.7,,12.1,3.3
D,121,2022-08-13,04:44:00,台北標準時間,-49.7,,-49.7,100.0,86.6,,12.2,3.3
D,121,2022-08-13,04:45:00,台北標準時間,-49.3,,-49.3,100.0,87.1,,12.2,3.2
D,121,2022-08-13,04:46:00,台北標準時間,-49.3,,-49.3,100.0,87.0,,12.2,3.3
D,121,2022-08-13,04:47:00,台北標準時間,-49.3,,-49.3,100.0,86.6,,12.2,3.3
D,121,2022-08-13,04:48:00,台北標準時間,-49.3,,-49.3,100.0,86.9,,12.2,3.4
D,121,2022-08-13,04:49:00,台北標準時間,-49.3,,-49.3,100.0,86.9,,12.2,3.4
D,121,2022-08-13,04:50:00,台北標準時間,-49.3,,-49.3,100.0,87.0,,12.2,3.3
D,121,2022-08-13,04:51:00,台北標準時間,-29.0,,-29.0,60.0,89.3,,13.1,3.7
D,121,2022-08-13,04:52:00,台北標準時間,-23.0,,-23.0,60.0,64.9,,14.1,5.4
D,121,2022-08-13,04:53:00,台北標準時間,-17.6,,-17.6,60.0,51.2,,14.1,6.3
D,121,2022-08-13,04:54:00,台北標準時間,-16.2,,-16.2,60.0,51.8,,14.1,6.4
D,121,2022-08-13,04:55:00,台北標準時間,-14.7,,-14.7,60.0,52.5,,14.2,6.4
D,121,2022-08-13,04:56:00,台北標準時間,-17.4,,-17.4,60.0,51.3,,14.4,6.6
D,121,2022-08-13,04:57:00,台北標準時間,-18.0,,-18.0,60.0,50.4,,14.1,6.9
D,121,2022-08-13,04:58:00,台北標準時間,-18.5,,-18.5,60.0,50.5,,13.6,6.3
D,121,2022-08-13,04:59:00,台北標準時間,-18.8,,-18.8,60.0,50.3,,13.9,6.3
D,121,2022-08-13,05:00:00,台北標準時間,-32.8,,-32.8,100.0,53.5,,14.6,6.8
D,121,2022-08-13,05:01:00,台北標準時間,-49.2,,-49.2,100.0,85.5,,12.5,3.3
D,121,2022-08-13,05:02:00,台北標準時間,-49.6,,-49.6,100.0,86.8,,12.2,3.4
D,121,2022-08-13,05:03:00,台北標準時間,-49.6,,-49.6,100.0,86.8,,12.1,3.3
