B_BLNO,120,,,,8,8,8,8,8,8,8,8
B_PERD,120,,,,60,60,60,60,60,60,60,60
B_SMPL,120,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,120,,,,R,R,R,R,R,R,R,R
P_ITEM,120,,,,37VJ583-PI.PV,37VJ603-PI.PV,37VD430-PC.PV,37VD430-PC.MV,37VD430-CUR.PV,,37VJ434-ZT01.PV,37VJ435-ZT02.PV
P_CMNT,120,,,,#3透平機電機側壓力,#3透平機自由側壓力,#3透平機負壓,#3透平機負壓,#3透平機主馬達電流,,#3真空泵電機側振動,#3真空泵自由側振動
P_DPLO,120,,,,-100.0,-100.0,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,120,,,,0.0,0.0,0.0,100.0,100.0,,200.0,200.0
P_DPDP,120,,,,1,1,1,1,1,,1,1
P_EUNT,120,,,,kPa,kPa,kPa,%,%,,um,um
P_TYPE,120,,,,Analog,Analog,Analog,Analog,Analog,,Analog,Analog
G_STAT,120,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,120,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,120,2022-08-13,04:34:00,台北標準時間,-50.9,-38.0,-44.5,85.0,87.3,,0.5,17.2
D,120,2022-08-13,04:35:00,台北標準時間,-51.1,-38.2,-44.6,85.0,86.9,,0.5,17.4
D,120,2022-08-13,04:36:00,台北標準時間,-51.0,-38.1,-44.6,85.0,87.3,,0.5,17.4
D,120,2022-08-13,04:37:00,台北標準時間,-51.1,-38.1,-44.6,85.0,86.8,,0.5,17.0
D,120,2022-08-13,04:38:00,台北標準時間,-51.1,-38.1,-44.6,85.0,86.6,,0.5,17.4
D,120,2022-08-13,04:39:00,台北標準時間,-51.1,-38.2,-44.7,85.0,86.7,,0.5,17.1
D,120,2022-08-13,04:40:00,台北標準時間,-51.1,-38.1,-44.6,85.0,87.0,,0.5,17.0
D,120,2022-08-13,04:41:00,台北標準時間,-51.0,-38.2,-44.6,85.0,87.0,,0.5,17.2
D,120,2022-08-13,04:42:00,台北標準時間,-50.9,-38.0,-44.5,85.0,87.3,,0.5,17.5
D,120,2022-08-13,04:43:00,台北標準時間,-50.7,-37.9,-44.3,85.0,87.7,,0.5,17.5
D,120,2022-08-13,04:44:00,台北標準時間,-50.8,-37.9,-44.3,85.0,87.7,,0.5,17.5
D,120,2022-08-13,04:45:00,台北標準時間,-50.7,-38.0,-44.4,85.0,87.9,,0.5,17.5
D,120,2022-08-13,04:46:00,台北標準時間,-50.7,-37.9,-44.3,85.0,87.7,,0.5,17.1
D,120,2022-08-13,04:47:00,台北標準時間,-50.8,-37.9,-44.3,85.0,87.7,,0.5,17.1
D,120,2022-08-13,04:48:00,台北標準時間,-50.8,-38.0,-44.4,85.0,87.9,,0.5,17.2
D,120,2022-08-13,04:49:00,台北標準時間,-50.7,-37.9,-44.3,85.0,88.1,,0.5,17.2
D,120,2022-08-13,04:50:00,台北標準時間,-50.5,-37.8,-44.1,85.0,88.4,,0.5,17.4
D,120,2022-08-13,04:51:00,台北標準時間,-34.5,-23.5,-29.0,65.0,81.0,,0.5,13.6
D,120,2022-08-13,04:52:00,台北標準時間,-29.9,-19.9,-24.9,65.0,72.3,,0.5,16.6
