time,Gas_for_paper,Hourly_Production,Total_water,Quantitative_measurement_of_coiling_scan_frame,#1_Turbine_Motor_Side_Pressure,#1_Turbine_Free_Side_Pressure,#1_Turbine_Negative_Pressure,#1_Turbine_Negative_Pressure.1,#1_Turbine_Main_Motor_Current,#1_Vacuum_Pump_Motor_Side_Vibration,#1_Vacuum_Pump_Free_Side_Vibration,#2_Turbine_Motor_Side_Pressure,#2_Turbine_Free_Side_Pressure,#2_Turbine_Negative_Pressure,#2_Turbine_Negative_Pressure.1,#2_Turbine_Main_Motor_Current,#2_Vacuum_Pump_Motor_Side_Vibration,#2_Vacuum_Pump_Free_Side_Vibration,#3_Turbine_Motor_Side_Pressure,#3_Turbine_Free_Side_Pressure,#3_Turbine_Negative_Pressure,#3_Turbine_Negative_Pressure.1,#3_Turbine_Main_Motor_Current,#3_Vacuum_Pump_Motor_Side_Vibration,#3_Vacuum_Pump_Free_Side_Vibration,#4_Turbine_Free_Side_Pressure,#4_Turbine_Negative_Pressure,#4_Turbine_Negative_Pressure.1,#4_Turbine_Main_Motor_Current,#4_Vacuum_Pump_Motor_Side_Vibration,#4_Vacuum_Pump_Free_Side_Vibration
2022-05-25 14:06:00,0.987,43.7,100.0,163.3,-32.3,-40.4,-36.3,93.0,79.4,12.2,5.6,-49.0,-61.9,-55.4,88.0,52.9,1.6,20.1,-57.0,-42.3,-49.7,91.0,83.0,0.7,13.0,-51.6,-51.6,100.0,73.1,13.3,2.4
2022-05-25 14:07:00,0.993,43.7,100.0,163.2,-32.5,-40.4,-36.4,93.0,79.1,11.8,5.6,-49.0,-61.8,-55.4,88.0,53.1,1.6,20.1,-57.0,-42.3,-49.7,91.0,83.0,0.7,13.2,-51.6,-51.6,100.0,73.4,13.3,2.4
2022-05-25 14:08:00,0.989,43.8,101.0,162.9,-32.7,-40.3,-36.5,93.0,78.7,11.8,5.6,-49.0,-61.8,-55.4,88.0,52.7,1.6,20.2,-56.9,-42.3,-49.6,91.0,83.2,0.7,13.4,-51.5,-51.5,100.0,73.4,13.3,2.4
2022-05-25 14:09:00,0.989,43.8,104.0,161.3,-33.0,-40.3,-36.7,93.0,78.6,11.8,5.5,-49.0,-61.8,-55.4,88.0,53.0,1.6,20.1,-56.9,-42.3,-49.6,91.0,83.7,0.7,13.2,-51.5,-51.5,100.0,73.3,13.3,2.4
2022-05-25 14:10:00,0.968,43.8,108.0,160.6,-33.1,-40.3,-36.7,93.0,78.5,11.9,5.7,-49.0,-61.8,-55.4,88.0,53.0,1.6,20.1,-57.0,-42.3,-49.6,91.0,83.0,0.7,13.0,-51.6,-51.6,100.0,73.2,13.3,2.5
2022-05-25 14:11:00,0.956,43.7,113.0,160.0,-33.1,-40.3,-36.7,93.0,78.5,12.0,6.0,-49.0,-61.8,-55.4,88.0,53.1,1.6,20.1,-56.9,-42.4,-49.6,91.0,83.3,0.7,13.2,-51.6,-51.6,100.0,73.4,13.3,2.4
2022-05-25 14:12:00,0.964,43.7,120.0,159.7,-32.9,-40.3,-36.6,93.0,78.8,11.8,5.5,-49.0,-61.7,-55.4,88.0,52.9,1.6,20.1,-56.8,-42.3,-49.6,91.0,83.7,0.7,13.5,-51.6,-51.6,100.0,73.4,13.3,2.4
2022-05-25 14:13:00,0.966,43.7,125.0,159.6,-32.3,-40.2,-36.3,93.0,79.8,12.1,6.0,-49.0,-61.7,-55.3,88.0,53.1,1.7,20.1,-56.8,-42.3,-49.5,91.0,83.8,0.7,13.4,-51.5,-51.5,100.0,73.4,13.3,2.4
2022-05-25 14:14:00,0.968,43.7,129.0,158.4,-32.0,-40.3,-36.2,93.0,79.6,11.6,5.9,-49.0,-61.8,-55.4,88.0,53.1,1.6,20.1,-56.9,-42.3,-49.6,91.0,83.7,0.7,13.2,-51.5,-51.5,100.0,73.4,13.3,2.5
2022-05-25 14:15:00,0.979,43.7,129.0,158.8,-32.0,-40.3,-36.1,93.0,80.0,12.2,5.9,-48.9,-61.7,-55.3,88.0,53.2,1.6,20.1,-56.8,-42.3,-49.5,91.0,83.8,0.7,13.5,-51.5,-51.5,100.0,73.4,13.3,2.4
2022-05-25 14:16:00,0.972,43.6,128.0,159.5,-32.1,-40.3,-36.2,93.0,79.9,11.9,5.6,-49.0,-61.8,-55.4,88.0,53.2,1.6,20.1,-56.8,-42.3,-49.6,91.0,83.7,0.7,13.3,-51.5,-51.5,100.0,73.4,13.3,2.4
2022-05-25 14:17:00,0.974,43.6,127.0,159.5,-32.1,-40.3,-36.2,93.0,79.6,12.2,5.6,-49.0,-61.8,-55.4,88.0,52.9,1.6,20.1,-56.9,-42.3,-49.6,91.0,83.2,0.7,13.4,-51.6,-51.6,100.0,73.3,13.3,2.4
2022-05-25 14:18:00,0.981,43.6,125.0,159.5,-32.2,-40.4,-36.3,93.0,79.8,11.7,5.5,-49.0,-61.8,-55.4,88.0,53.1,1.6,20.1,-56.9,-42.3,-49.6,91.0,83.5,0.7,13.5,-51.5,-51.5,100.0,73.2,13.3,2.4
2022-05-25 14:19:00,0.996,43.2,124.0,160.2,-32.3,-40.3,-36.3,93.0,79.1,11.8,5.5,-49.0,-61.8,-55.4,88.0,53.1,1.6,20.2,-56.8,-42.3,-49.6,91.0,83.3,0.7,13.4,-51.6,-51.6,100.0,73.1,13.3,2.4
2022-05-25 14:20:00,0.999,43.2,124.0,160.2,-32.7,-40.3,-36.5,93.0,79.0,12.0,5.9,-49.0,-61.8,-55.4,88.0,53.1,1.6,20.1,-56.8,-42.3,-49.6,91.0,83.4,0.7,13.2,-51.5,-51.5,100.0,73.2,13.3,2.4
2022-05-25 14:21:00,0.987,43.4,124.0,160.6,-32.9,-40.3,-36.6,93.0,78.7,11.7,5.4,-49.0,-61.8,-55.4,88.0,53.1,1.6,20.1,-56.8,-42.3,-49.6,91.0,83.1,0.7,13.5,-51.6,-51.6,100.0,72.7,13.3,2.4
2022-05-25 14:22:00,0.988,43.4,126.0,158.9,-33.1,-40.3,-36.7,93.0,78.7,11.7,5.5,-49.0,-61.7,-55.4,88.0,53.1,1.6,20.1,-56.8,-42.3,-49.6,91.0,83.6,0.7,13.6,-51.6,-51.6,100.0,73.2,13.3,2.4
2022-05-25 14:23:00,0.989,43.4,127.0,159.4,-33.2,-40.3,-36.7,93.0,78.5,11.8,5.9,-49.0,-61.7,-55.3,88.0,53.2,1.6,20.1,-56.8,-42.3,-49.5,91.0,83.8,0.7,13.2,-51.5,-51.5,100.0,73.2,13.3,2.4
2022-05-25 14:24:00,0.994,43.4,129.0,159.3,-33.2,-40.3,-36.7,93.0,78.8,11.7,5.6,-49.0,-61.7,-55.3,88.0,53.2,1.6,20.2,-56.6,-42.3,-49.5,91.0,83.9,0.7,13.5,-51.5,-51.5,100.0,73.1,13.3,2.4
2022-05-25 14:25:00,0.993,43.4,130.0,159.5,-32.8,-40.3,-36.6,93.0,79.1,11.8,5.5,-49.0,-61.7,-55.3,88.0,53.2,1.6,20.2,-56.7,-42.3,-49.5,91.0,84.2,0.7,13.7,-51.6,-51.6,100.0,73.5,13.3,2.5
2022-05-25 14:26:00,0.985,43.4,129.0,159.6,-32.4,-40.3,-36.3,93.0,79.5,11.7,5.5,-49.0,-61.7,-55.3,88.0,53.2,1.6,20.1,-56.9,-42.4,-49.6,91.0,83.6,0.7,13.3,-51.6,-51.6,100.0,73.5,13.3,2.4
2022-05-25 14:27:00,0.973,43.4,127.0,158.9,-32.3,-40.3,-36.3,93.0,79.5,12.2,5.5,-49.0,-61.7,-55.3,88.0,53.1,1.6,20.1,-56.6,-42.2,-49.4,91.0,84.2,0.7,13.5,-51.5,-51.5,100.0,73.2,13.3,2.4
2022-05-25 14:28:00,0.984,43.3,122.0,159.3,-32.4,-40.4,-36.4,93.0,79.4,11.8,5.5,-49.0,-61.7,-55.3,88.0,53.2,1.6,20.1,-56.7,-42.3,-49.5,91.0,84.1,0.7,13.4,-51.5,-51.5,100.0,73.1,13.3,2.5
2022-05-25 14:29:00,0.978,43.3,117.0,159.2,-32.5,-40.3,-36.4,93.0,79.3,11.7,5.6,-49.0,-61.7,-55.4,88.0,53.1,1.6,20.1,-56.7,-42.4,-49.5,91.0,83.8,0.7,13.6,-51.6,-51.6,100.0,73.4,13.3,2.5
