feature,25%,50%,75%,max
#1_Turbine_Motor_Side_Pressure,-37.5,-36.0,-34.0,-26.399999999999995
#1_Turbine_Free_Side_Pressure,-38.0,-36.3,-34.4,-29.000000000000004
#1_Turbine_Negative_Pressure,-37.3,-36.1,-34.8,-28.69999999999999
#1_Turbine_Negative_Pressure.1,88.0,90.0,92.0,94.0
#1_Turbine_Main_Motor_Current,65.2,71.1,77.9,101.1
#1_Vacuum_Pump_Motor_Side_Vibration,14.4,16.7,17.7,23.25
#1_Vacuum_Pump_Free_Side_Vibration,6.1,6.6,7.5,9.6
#2_Turbine_Motor_Side_Pressure,-49.5,-38.5,-34.2,-15.09999999999999
#2_Turbine_Free_Side_Pressure,-62.3,-54.9,-50.4,-33.8
#2_Turbine_Negative_Pressure,-56.0,-46.7,-42.3,-24.09999999999999
#2_Turbine_Negative_Pressure.1,72.0,73.0,89.0,90.0
#2_Turbine_Main_Motor_Current,39.1,45.6,55.5,76.0
#2_Vacuum_Pump_Motor_Side_Vibration,1.5,1.6,1.6,1.7500000000000002
#2_Vacuum_Pump_Free_Side_Vibration,16.8,18.6,21.1,23.9
#3_Turbine_Motor_Side_Pressure,-59.4,-57.5,-55.3,-46.05000000000001
#3_Turbine_Free_Side_Pressure,-43.3,-42.7,-41.7,-37.44999999999999
#3_Turbine_Negative_Pressure,-51.3,-50.1,-48.7,-41.89999999999999
#3_Turbine_Negative_Pressure.1,90.0,92.0,93.0,97.0
#3_Turbine_Main_Motor_Current,77.7,82.2,86.8,98.7
#3_Vacuum_Pump_Motor_Side_Vibration,0.6,0.6,0.7,0.8
#3_Vacuum_Pump_Free_Side_Vibration,12.7,13.4,14.5,17.8
#4_Turbine_Free_Side_Pressure,-51.0,-48.3,-46.8,-41.95
#4_Turbine_Negative_Pressure,-51.0,-48.3,-46.8,-41.95
#4_Turbine_Negative_Pressure.1,100.0,100.0,100.0,100.0
#4_Turbine_Main_Motor_Current,74.9,81.8,87.5,100.8
#4_Vacuum_Pump_Motor_Side_Vibration,12.3,12.3,13.1,14.299999999999995
#4_Vacuum_Pump_Free_Side_Vibration,2.5,2.6,3.0,4.0
