B_BLNO,118,,,,8,8,8,8,8,8,8,8
B_PERD,118,,,,60,60,60,60,60,60,60,60
B_SMPL,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,118,,,,R,R,R,R,R,R,R,R
P_ITEM,118,,,,37VJ503-PI.PV,37VJ523-PI.PV,37VD410-PC.PV,37VD410-PC.MV,37VD410-CUR.PV,37VJ416-ZT01.PV,37VJ417-ZT02.PV,
P_CMNT,118,,,,#1透平機電機側壓力,#1透平機自由側壓力,#1透平機負壓,#1透平機負壓,#1透平機主馬達電流,#1真空泵電機側振動,#1真空泵自由側振動,
P_DPLO,118,,,,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,
P_DPHI,118,,,,0.0,0.0,0.0,100.0,100.0,200.0,200.0,
P_DPDP,118,,,,1,1,1,1,1,1,1,
P_EUNT,118,,,,kPa,kPa,kPa,%,%,um,um,
P_TYPE,118,,,,Analog,Analog,Analog,Analog,Analog,Analog,Analog,
G_STAT,118,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,118,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,118,2022-08-19,00:01:00,台北標準時間,-37.9,-36.5,-37.2,90.0,68.5,16.5,6.5,
D,118,2022-08-19,00:02:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.8,16.2,6.6,
D,118,2022-08-19,00:03:00,台北標準時間,-38.0,-36.5,-37.3,90.0,68.7,16.4,6.5,
D,118,2022-08-19,00:04:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.5,16.6,6.5,
D,118,2022-08-19,00:05:00,台北標準時間,-38.0,-36.5,-37.2,90.0,68.6,16.5,6.5,
D,118,2022-08-19,00:06:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.3,16.4,6.8,
D,118,2022-08-19,00:07:00,台北標準時間,-38.0,-36.5,-37.2,90.0,68.4,16.5,6.6,
D,118,2022-08-19,00:08:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.2,16.2,6.5,
D,118,2022-08-19,00:09:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.1,16.5,6.5,
D,118,2022-08-19,00:10:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.0,16.5,6.7,
D,118,2022-08-19,00:11:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.1,16.4,7.2,
D,118,2022-08-19,00:12:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.0,16.6,6.6,
D,118,2022-08-19,00:13:00,台北標準時間,-38.1,-36.6,-37.4,90.0,67.5,16.5,6.6,
D,118,2022-08-19,00:14:00,台北標準時間,-38.0,-36.6,-37.3,90.0,67.9,16.5,6.6,
D,118,2022-08-19,00:15:00,台北標準時間,-38.0,-36.6,-37.3,90.0,67.9,16.6,6.9,
D,118,2022-08-19,00:16:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.2,16.5,6.7,
D,118,2022-08-19,00:17:00,台北標準時間,-37.9,-36.6,-37.3,90.0,68.7,16.6,6.5,
D,118,2022-08-19,00:18:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.6,16.6,6.5,
D,118,2022-08-19,00:19:00,台北標準時間,-37.9,-36.6,-37.2,90.0,69.1,16.1,6.6,
D,118,2022-08-19,00:20:00,台北標準時間,-37.9,-36.5,-37.2,90.0,68.9,16.3,6.5,
D,118,2022-08-19,00:21:00,台北標準時間,-37.9,-36.5,-37.2,90.0,69.1,16.4,6.7,
D,118,2022-08-19,00:22:00,台北標準時間,-37.9,-36.5,-37.2,90.0,69.1,16.3,6.7,
D,118,2022-08-19,00:23:00,台北標準時間,-37.9,-36.5,-37.2,90.0,69.3,16.5,6.5,
D,118,2022-08-19,00:24:00,台北標準時間,-37.9,-36.6,-37.2,90.0,68.9,16.4,6.5,
D,118,2022-08-19,00:25:00,台北標準時間,-37.9,-36.6,-37.2,90.0,69.2,16.6,6.6,
D,118,2022-08-19,00:26:00,台北標準時間,-38.0,-36.6,-37.3,90.0,68.6,16.3,6.6,
D,118,2022-08-19,00:27:00,台北標準時間,-37.8,-36.5,-37.2,90.0,69.0,16.5,6.5,
D,118,2022-08-19,00:28:00,台北標準時間,-37.8,-36.5,-37.2,90.0,69.5,16.5,6.7,
D,118,2022-08-19,00:29:00,台北標準時間,-37.7,-36.5,-37.1,90.0,69.5,16.4,6.8,
D,118,2022-08-19,00:30:00,台北標準時間,-37.6,-36.5,-37.1,90.0,69.9,16.5,6.6,
D,118,2022-08-19,00:31:00,台北標準時間,-37.6,-36.5,-37.0,90.0,70.3,16.3,6.5,
D,118,2022-08-19,00:32:00,台北標準時間,-37.6,-36.5,-37.1,90.0,70.1,16.3,6.6,
D,118,2022-08-19,00:33:00,台北標準時間,-37.6,-36.5,-37.1,90.0,69.9,16.4,6.7,
D,118,2022-08-19,00:34:00,台北標準時間,-37.6,-36.5,-37.1,90.0,70.1,16.1,6.8,
D,118,2022-08-19,00:35:00,台北標準時間,-37.2,-36.0,-36.6,89.0,69.2,16.5,6.8,
D,118,2022-08-19,00:36:00,台北標準時間,-37.0,-35.9,-36.5,89.0,68.9,16.6,6.8,
D,118,2022-08-19,00:37:00,台北標準時間,-36.9,-36.0,-36.4,89.0,69.2,16.6,7.4,
D,118,2022-08-19,00:38:00,台北標準時間,-36.9,-35.9,-36.4,89.0,69.8,16.6,7.4,
D,118,2022-08-19,00:39:00,台北標準時間,-36.8,-35.9,-36.4,89.0,69.5,16.6,7.5,
D,118,2022-08-19,00:40:00,台北標準時間,-36.8,-35.9,-36.4,89.0,70.2,16.6,7.3,
D,118,2022-08-19,00:41:00,台北標準時間,-36.7,-35.9,-36.3,89.0,70.1,16.6,7.5,
D,118,2022-08-19,00:42:00,台北標準時間,-37.1,-36.0,-36.5,89.0,69.2,16.6,7.3,
D,118,2022-08-19,00:43:00,台北標準時間,-37.1,-36.0,-36.6,89.0,68.9,16.6,6.7,
