B_BLNO,119,,,,8,8,8,8,8,8,8,8
B_PERD,119,,,,60,60,60,60,60,60,60,60
B_SMPL,119,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,119,,,,R,R,R,R,R,R,R,R
P_ITEM,119,,,,37VJ543-PI.PV,37VJ563-PI.PV,37VD420-PC.PV,37VD420-PC.MV,37VD420-CUR.PV,,37VJ426-ZT01.PV,37VJ427-ZT02.PV
P_CMNT,119,,,,#2透平機電機側壓力,#2透平機自由側壓力,#2透平機負壓,#2透平機負壓,#2透平機主馬達電流,,#2真空泵電機側振動,#2真空泵自由側振動
P_DPLO,119,,,,-100.0,-100.0,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,119,,,,0.0,0.0,0.0,100.0,100.0,,200.0,200.0
P_DPDP,119,,,,1,1,1,1,1,,1,1
P_EUNT,119,,,,kPa,kPa,kPa,%,%,,um,um
P_TYPE,119,,,,Analog,Analog,Analog,Analog,Analog,,Analog,Analog
G_STAT,119,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,119,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,119,2022-08-23,06:08:00,台北標準時間,-33.5,-49.8,-41.7,72.0,39.3,,1.6,17.9
D,119,2022-08-23,06:09:00,台北標準時間,-33.9,-50.1,-42.0,72.0,39.3,,1.6,17.1
D,119,2022-08-23,06:10:00,台北標準時間,-34.5,-50.7,-42.6,72.0,39.7,,1.6,16.4
D,119,2022-08-23,06:11:00,台北標準時間,-34.0,-50.3,-42.1,72.0,39.3,,1.6,16.8
D,119,2022-08-23,06:12:00,台北標準時間,-33.7,-50.1,-41.9,72.0,36.5,,1.6,18.4
D,119,2022-08-23,06:13:00,台北標準時間,-34.9,-51.4,-43.2,72.0,37.6,,1.6,16.4
D,119,2022-08-23,06:14:00,台北標準時間,-34.2,-50.9,-42.5,72.0,35.4,,1.6,18.4
D,119,2022-08-23,06:15:00,台北標準時間,-34.0,-50.2,-42.1,72.0,39.2,,1.5,17.0
D,119,2022-08-23,06:16:00,台北標準時間,-34.4,-50.6,-42.5,72.0,40.1,,1.5,16.4
D,119,2022-08-23,06:17:00,台北標準時間,-34.0,-50.1,-42.0,72.0,39.7,,1.6,16.9
D,119,2022-08-23,06:18:00,台北標準時間,-34.1,-50.4,-42.3,72.0,39.0,,1.5,16.9
D,119,2022-08-23,06:19:00,台北標準時間,-34.8,-51.1,-42.9,72.0,39.5,,1.6,15.9
D,119,2022-08-23,06:20:00,台北標準時間,-34.6,-51.3,-42.9,72.0,36.6,,1.6,17.1
D,119,2022-08-23,06:21:00,台北標準時間,-33.4,-50.1,-41.7,72.0,38.2,,1.5,18.9
D,119,2022-08-23,06:22:00,台北標準時間,-33.5,-49.5,-41.5,72.0,39.7,,1.6,17.6
D,119,2022-08-23,06:23:00,台北標準時間,-34.7,-51.3,-43.0,72.0,37.1,,1.6,16.7
D,119,2022-08-23,06:24:00,台北標準時間,-34.4,-50.5,-42.4,72.0,39.7,,1.6,16.5
D,119,2022-08-23,06:25:00,台北標準時間,-33.8,-49.8,-41.8,72.0,39.5,,1.6,16.9
D,119,2022-08-23,06:26:00,台北標準時間,-34.2,-50.8,-42.5,72.0,35.8,,1.5,18.2
D,119,2022-08-23,06:27:00,台北標準時間,-33.9,-50.2,-42.1,72.0,39.0,,1.6,16.7
D,119,2022-08-23,06:28:00,台北標準時間,-33.4,-49.4,-41.4,72.0,40.1,,1.6,17.8
D,119,2022-08-23,06:29:00,台北標準時間,-35.0,-51.5,-43.3,72.0,37.9,,1.6,15.9
D,119,2022-08-23,06:30:00,台北標準時間,-33.8,-50.0,-41.9,72.0,39.6,,1.6,17.6
D,119,2022-08-23,06:31:00,台北標準時間,-34.5,-51.3,-42.9,72.0,36.1,,1.6,17.7
D,119,2022-08-23,06:32:00,台北標準時間,-33.9,-50.1,-42.0,72.0,39.3,,1.6,17.3
D,119,2022-08-23,06:33:00,台北標準時間,-33.4,-49.9,-41.6,72.0,38.8,,1.6,18.0
D,119,2022-08-23,06:34:00,台北標準時間,-32.8,-49.3,-41.0,72.0,36.9,,1.6,20.4
D,119,2022-08-23,06:35:00,台北標準時間,-33.9,-50.7,-42.3,72.0,35.1,,1.5,18.3
D,119,2022-08-23,06:36:00,台北標準時間,-34.3,-51.0,-42.7,72.0,36.2,,1.6,17.5
D,119,2022-08-23,06:37:00,台北標準時間,-33.3,-49.4,-41.3,72.0,39.9,,1.6,17.8
D,119,2022-08-23,06:38:00,台北標準時間,-33.4,-49.8,-41.6,72.0,39.0,,1.6,17.9
D,119,2022-08-23,06:39:00,台北標準時間,-33.6,-49.7,-41.6,72.0,39.5,,1.6,17.4
D,119,2022-08-23,06:40:00,台北標準時間,-33.8,-50.3,-42.0,72.0,37.0,,1.5,17.8
D,119,2022-08-23,06:41:00,台北標準時間,-33.4,-50.1,-41.8,72.0,37.0,,1.8,19.6
D,119,2022-08-23,06:42:00,台北標準時間,-33.4,-49.8,-41.6,72.0,39.1,,1.6,18.0
D,119,2022-08-23,06:43:00,台北標準時間,-33.9,-50.2,-42.1,72.0,39.0,,1.6,16.5
D,119,2022-08-23,06:44:00,台北標準時間,-32.9,-49.2,-41.1,72.0,39.2,,1.6,18.2
D,119,2022-08-23,06:45:00,台北標準時間,-34.6,-51.0,-42.8,72.0,39.5,,1.6,16.1
D,119,2022-08-23,06:46:00,台北標準時間,-33.9,-50.0,-41.9,72.0,39.7,,1.6,16.6
D,119,2022-08-23,06:47:00,台北標準時間,-33.7,-50.5,-42.1,72.0,35.0,,1.6,19.4
D,119,2022-08-23,06:48:00,台北標準時間,-33.3,-50.0,-41.6,72.0,38.6,,1.6,18.5
D,119,2022-08-23,06:49:00,台北標準時間,-33.5,-49.8,-41.6,72.0,39.1,,1.6,18.0
D,119,2022-08-23,06:50:00,台北標準時間,-32.8,-49.3,-41.0,72.0,37.0,,1.6,20.0
D,119,2022-08-23,06:51:00,台北標準時間,-33.4,-49.8,-41.6,72.0,39.2,,1.6,17.8
D,119,2022-08-23,06:52:00,台北標準時間,-33.9,-50.1,-42.0,72.0,39.5,,1.6,17.2
D,119,2022-08-23,06:53:00,台北標準時間,-33.4,-49.8,-41.6,72.0,39.0,,1.6,17.7
D,119,2022-08-23,06:54:00,台北標準時間,-34.8,-51.2,-43.0,72.0,39.2,,1.6,15.9
D,119,2022-08-23,06:55:00,台北標準時間,-33.3,-49.9,-41.6,72.0,38.9,,1.6,18.4
D,119,2022-08-23,06:56:00,台北標準時間,-34.9,-51.2,-43.0,72.0,39.3,,1.5,15.9
D,119,2022-08-23,06:57:00,台北標準時間,-34.8,-51.4,-43.1,72.0,37.3,,1.5,16.2
D,119,2022-08-23,06:58:00,台北標準時間,-34.4,-51.1,-42.7,72.0,35.8,,1.6,17.9
D,119,2022-08-23,06:59:00,台北標準時間,-34.7,-51.0,-42.9,72.0,39.9,,1.6,15.6
D,119,2022-08-23,07:00:00,台北標準時間,-34.0,-50.1,-42.1,72.0,39.3,,1.6,17.2
D,119,2022-08-23,07:01:00,台北標準時間,-34.5,-50.8,-42.6,72.0,39.7,,1.6,16.3
D,119,2022-08-23,07:02:00,台北標準時間,-34.5,-50.8,-42.7,72.0,39.9,,1.6,16.2
D,119,2022-08-23,07:03:00,台北標準時間,-33.8,-50.0,-41.9,72.0,39.7,,1.6,17.1
D,119,2022-08-23,07:04:00,台北標準時間,-34.0,-50.7,-42.3,72.0,35.2,,1.6,18.5
