D,121,2022-08-23,06:38:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.4,3.0
D,121,2022-08-23,06:39:00,台北標準時間,-50.2,,-50.2,100.0,75.9,,12.3,2.5
D,121,2022-08-23,06:40:00,台北標準時間,-50.2,,-50.2,100.0,76.3,,12.4,2.4
D,121,2022-08-23,06:41:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.4,2.5
D,121,2022-08-23,06:42:00,台北標準時間,-50.3,,-50.3,100.0,76.1,,12.3,2.5
D,121,2022-08-23,06:43:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.3,2.4
D,121,2022-08-23,06:44:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.5,2.5
D,121,2022-08-23,06:45:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.4,2.5
D,121,2022-08-23,06:46:00,台北標準時間,-50.3,,-50.3,100.0,75.9,,12.3,2.5
D,121,2022-08-23,06:47:00,台北標準時間,-50.2,,-50.2,100.0,75.7,,12.3,2.5
D,121,2022-08-23,06:48:00,台北標準時間,-50.3,,-50.3,100.0,75.7,,12.4,2.4
D,121,2022-08-23,06:49:00,台北標準時間,-50.2,,-50.2,100.0,75.9,,12.4,2.4
D,121,2022-08-23,06:50:00,台北標準時間,-50.2,,-50.2,100.0,76.0,,12.5,2.5
D,121,2022-08-23,06:51:00,台北標準時間,-50.2,,-50.2,100.0,76.1,,12.5,2.4
D,121,2022-08-23,06:52:00,台北標準時間,-50.3,,-50.3,100.0,75.6,,12.4,2.5
D,121,2022-08-23,06:53:00,台北標準時間,-50.3,,-50.3,100.0,75.6,,12.5,2.6
D,121,2022-08-23,06:54:00,台北標準時間,-50.3,,-50.3,100.0,75.5,,12.5,2.5
D,121,2022-08-23,06:55:00,台北標準時間,-50.3,,-50.3,100.0,75.3,,12.6,2.7
D,121,2022-08-23,06:56:00,台北標準時間,-50.2,,-50.2,100.0,75.4,,12.5,2.5
D,121,2022-08-23,06:57:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.5,2.7
D,121,2022-08-23,06:58:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.4,2.4
D,121,2022-08-23,06:59:00,台北標準時間,-50.2,,-50.2,100.0,76.0,,12.3,2.7
D,121,2022-08-23,07:00:00,台北標準時間,-50.2,,-50.2,100.0,75.9,,12.3,2.5
D,121,2022-08-23,07:01:00,台北標準時間,-50.3,,-50.3,100.0,75.9,,12.3,2.5
D,121,2022-08-23,07:02:00,台北標準時間,-50.2,,-50.2,100.0,76.0,,12.3,2.4
D,121,2022-08-23,07:03:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.3,2.5
D,121,2022-08-23,07:04:00,台北標準時間,-50.3,,-50.3,100.0,76.1,,12.3,2.4
D,121,2022-08-23,07:05:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.2,2.5
D,121,2022-08-23,07:06:00,台北標準時間,-50.2,,-50.2,100.0,75.8,,12.4,2.8
D,121,2022-08-23,07:07:00,台北標準時間,-50.2,,-50.2,100.0,75.8,,12.4,2.6
D,121,2022-08-23,07:08:00,台北標準時間,-50.2,,-50.2,100.0,76.0,,12.4,2.5
D,121,2022-08-23,07:09:00,台北標準時間,-50.2,,-50.2,100.0,75.9,,12.4,2.5
D,121,2022-08-23,07:10:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.5,2.7
D,121,2022-08-23,07:11:00,台北標準時間,-50.3,,-50.3,100.0,75.6,,12.3,2.8
D,121,2022-08-23,07:12:00,台北標準時間,-50.3,,-50.3,100.0,75.4,,12.3,2.4
D,121,2022-08-23,07:13:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.7,2.4
D,121,2022-08-23,07:14:00,台北標準時間,-50.2,,-50.2,100.0,75.3,,12.3,2.4
D,121,2022-08-23,07:15:00,台北標準時間,-50.2,,-50.2,100.0,75.7,,12.3,2.4
D,121,2022-08-23,07:16:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.4,2.4
D,121,2022-08-23,07:17:00,台北標準時間,-50.2,,-50.2,100.0,75.6,,12.3,2.4
D,121,2022-08-23,07:18:00,台北標準時間,-50.2,,-50.2,100.0,75.3,,12.3,2.4
D,121,2022-08-23,07:19:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.3,2.5
D,121,2022-08-23,07:20:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.3,2.5
D,121,2022-08-23,07:21:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.3,2.4
D,121,2022-08-23,07:22:00,台北標準時間,-50.2,,-50.2,100.0,75.4,,12.3,2.5
D,121,2022-08-23,07:23:00,台北標準時間,-50.2,,-50.2,100.0,75.6,,12.3,2.5
D,121,2022-08-23,07:24:00,台北標準時間,-50.2,,-50.2,100.0,75.4,,12.4,2.4
D,121,2022-08-23,07:25:00,台北標準時間,-50.2,,-50.2,100.0,75.6,,12.3,2.7
D,121,2022-08-23,07:26:00,台北標準時間,-50.2,,-50.2,100.0,75.6,,12.3,2.4
D,121,2022-08-23,07:27:00,台北標準時間,-50.2,,-50.2,100.0,75.3,,12.3,2.5
D,121,2022-08-23,07:28:00,台北標準時間,-50.2,,-50.2,100.0,75.4,,12.4,2.5
D,121,2022-08-23,07:29:00,台北標準時間,-50.2,,-50.2,100.0,75.6,,12.3,2.5
D,121,2022-08-23,07:30:00,台北標準時間,-50.2,,-50.2,100.0,75.7,,12.3,2.4
D,121,2022-08-23,07:31:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.3,2.4
D,121,2022-08-23,07:32:00,台北標準時間,-50.2,,-50.2,100.0,76.0,,12.3,2.5
D,121,2022-08-23,07:33:00,台北標準時間,-50.2,,-50.2,100.0,75.9,,12.3,2.6
D,121,2022-08-23,07:34:00,台北標準時間,-50.2,,-50.2,100.0,75.4,,12.4,2.5
D,121,2022-08-23,07:35:00,台北標準時間,-50.2,,-50.2,100.0,75.2,,12.4,2.5
D,121,2022-08-23,07:36:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.4,2.5
D,121,2022-08-23,07:37:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.3,2.5
D,121,2022-08-23,07:38:00,台北標準時間,-50.2,,-50.2,100.0,75.2,,12.3,2.5
D,121,2022-08-23,07:39:00,台北標準時間,-50.2,,-50.2,100.0,75.3,,12.3,2.5
D,121,2022-08-23,07:40:00,台北標準時間,-50.2,,-50.2,100.0,75.4,,12.6,2.5
D,121,2022-08-23,07:41:00,台北標準時間,-50.2,,-50.2,100.0,75.0,,12.6,2.5
D,121,2022-08-23,07:42:00,台北標準時間,-50.2,,-50.2,100.0,75.4,,12.5,2.6
D,121,2022-08-23,07:43:00,台北標準時間,-50.2,,-50.2,100.0,75.6,,12.4,2.5
D,121,2022-08-23,07:44:00,台北標準時間,-50.3,,-50.3,100.0,75.4,,12.7,2.5
D,121,2022-08-23,07:45:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.4,2.4
D,121,2022-08-23,07:46:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.4,2.5
D,121,2022-08-23,07:47:00,台北標準時間,-50.2,,-50.2,100.0,75.4,,12.4,2.4
D,121,2022-08-23,07:48:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.4,2.5
D,121,2022-08-23,07:49:00,台北標準時間,-50.2,,-50.2,100.0,75.2,,12.5,2.4
D,121,2022-08-23,07:50:00,台北標準時間,-50.2,,-50.2,100.0,75.3,,12.4,2.4
D,121,2022-08-23,07:51:00,台北標準時間,-50.2,,-50.2,100.0,75.5,,12.4,2.4
D,121,2022-08-23,07:52:00,台北標準時間,-50.3,,-50.3,100.0,75.3,,12.3,2.4
D,121,2022-08-23,07:53:00,台北標準時間,-50.3,,-50.3,100.0,75.2,,12.3,2.5
D,121,2022-08-23,07:54:00,台北標準時間,-50.3,,-50.3,100.0,75.2,,12.3,2.5
D,121,2022-08-23,07:55:00,台北標準時間,-50.3,,-50.3,100.0,75.0,,12.3,2.4
D,121,2022-08-23,07:56:00,台北標準時間,-50.2,,-50.2,100.0,75.3,,12.3,2.5
D,121,2022-08-23,07:57:00,台北標準時間,-50.2,,-50.2,100.0,75.4,,12.4,2.5
D,121,2022-08-23,07:58:00,台北標準時間,-50.3,,-50.3,100.0,75.2,,12.5,2.4
D,121,2022-08-23,07:59:00,台北標準時間,-50.2,,-50.2,100.0,75.3,,12.3,2.4
D,121,2022-08-23,08:00:00,台北標準時間,-50.2,,-50.2,100.0,75.0,,12.5,2.5
D,121,2022-08-23,08:01:00,台北標準時間,-50.3,,-50.3,100.0,75.6,,12.3,2.4
D,121,2022-08-23,08:02:00,台北標準時間,-50.3,,-50.3,100.0,75.5,,12.4,2.5
D,121,2022-08-23,08:03:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.6,2.5
D,121,2022-08-23,08:04:00,台北標準時間,-50.3,,-50.3,100.0,75.5,,12.3,2.5
D,121,2022-08-23,08:05:00,台北標準時間,-50.3,,-50.3,100.0,75.6,,12.4,2.4
D,121,2022-08-23,08:06:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.3,2.4
D,121,2022-08-23,08:07:00,台北標準時間,-50.3,,-50.3,100.0,75.7,,12.5,2.5
D,121,2022-08-23,08:08:00,台北標準時間,-50.3,,-50.3,100.0,75.4,,12.3,2.5
D,121,2022-08-23,08:09:00,台北標準時間,-50.3,,-50.3,100.0,75.6,,12.7,2.4
D,121,2022-08-23,08:10:00,台北標準時間,-50.2,,-50.2,100.0,75.6,,12.6,2.4
D,121,2022-08-23,08:11:00,台北標準時間,-50.3,,-50.3,100.0,75.4,,12.5,2.5
D,121,2022-08-23,08:12:00,台北標準時間,-50.3,,-50.3,100.0,75.5,,12.4,2.5
D,121,2022-08-23,08:13:00,台北標準時間,-31.5,,-31.5,60.0,101.5,,14.2,4.5
D,121,2022-08-23,08:14:00,台北標準時間,-27.7,,-27.7,60.0,73.7,,13.5,5.0
D,121,2022-08-23,08:15:00,台北標準時間,-19.4,,-19.4,60.0,50.6,,14.5,6.3
D,121,2022-08-23,08:16:00,台北標準時間,-16.3,,-16.3,60.0,50.0,,14.0,5.5
D,121,2022-08-23,08:17:00,台北標準時間,-13.1,,-13.1,60.0,51.6,,14.2,5.4
D,121,2022-08-23,08:18:00,台北標準時間,-12.3,,-12.3,60.0,52.2,,14.3,5.5
D,121,2022-08-23,08:19:00,台北標準時間,-17.4,,-17.4,60.0,50.0,,14.0,5.2
D,121,2022-08-23,08:20:00,台北標準時間,-17.4,,-17.4,60.0,49.9,,14.3,5.3
D,121,2022-08-23,08:21:00,台北標準時間,-17.2,,-17.2,60.0,50.2,,14.2,5.5
D,121,2022-08-23,08:22:00,台北標準時間,-17.3,,-17.3,60.0,50.2,,14.2,5.6
D,121,2022-08-23,08:23:00,台北標準時間,-17.3,,-17.3,60.0,49.7,,13.8,5.5
D,121,2022-08-23,08:24:00,台北標準時間,-17.3,,-17.3,60.0,50.0,,14.2,5.7
D,121,2022-08-23,08:25:00,台北標準時間,-17.2,,-17.2,60.0,49.8,,14.2,5.6
D,121,2022-08-23,08:26:00,台北標準時間,-17.2,,-17.2,60.0,50.1,,13.7,5.5
D,121,2022-08-23,08:27:00,台北標準時間,-17.2,,-17.2,60.0,49.7,,14.0,5.8
D,121,2022-08-23,08:28:00,台北標準時間,-1.9,,-1.9,60.0,0.3,,15.3,3.4
D,121,2022-08-23,08:29:00,台北標準時間,0.1,,0.1,60.0,0.3,,15.3,3.4
D,121,2022-08-23,08:30:00,台北標準時間,0.1,,0.1,60.0,0.3,,5.9,1.2
D,121,2022-08-23,08:31:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:32:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:33:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:34:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:35:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:36:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:37:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:38:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:39:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:40:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:41:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:42:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:43:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:44:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:45:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:46:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:47:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:48:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:49:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:50:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:51:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,08:52:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,08:53:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,08:54:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,08:55:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,08:56:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,08:57:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,08:58:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,08:59:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:00:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:01:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.5
D,121,2022-08-23,09:02:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:03:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:04:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:05:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:06:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:07:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:08:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:09:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:10:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:11:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:12:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:13:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:14:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:15:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:16:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:17:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:18:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:19:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:20:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:21:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:22:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:23:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:24:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:25:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:26:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:27:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:28:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:29:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:30:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:31:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:32:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.2,0.4
D,121,2022-08-23,09:33:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:34:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:35:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:36:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:37:00,台北標準時間,0.1,,0.1,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:38:00,台北標準時間,0.2,,0.2,60.0,0.3,,1.3,0.4
D,121,2022-08-23,09:39:00,台北標準時間,-0.9,,-0.9,60.0,23.4,,16.7,4.3
D,121,2022-08-23,09:40:00,台北標準時間,-11.8,,-11.8,60.0,36.2,,15.7,3.3
D,121,2022-08-23,09:41:00,台北標準時間,-18.5,,-18.5,60.0,49.1,,14.7,4.9
D,121,2022-08-23,09:42:00,台北標準時間,-18.4,,-18.4,60.0,49.6,,14.3,5.0
D,121,2022-08-23,09:43:00,台北標準時間,-18.3,,-18.3,60.0,49.2,,14.6,5.0
D,121,2022-08-23,09:44:00,台北標準時間,-18.4,,-18.4,60.0,49.6,,14.2,4.6
D,121,2022-08-23,09:45:00,台北標準時間,-18.3,,-18.3,60.0,49.6,,14.3,5.2
D,121,2022-08-23,09:46:00,台北標準時間,-18.3,,-18.3,60.0,49.7,,14.2,4.9
D,121,2022-08-23,09:47:00,台北標準時間,-18.2,,-18.2,60.0,49.8,,14.2,4.9
D,121,2022-08-23,09:48:00,台北標準時間,-18.3,,-18.3,60.0,49.7,,14.5,5.4
D,121,2022-08-23,09:49:00,台北標準時間,-18.5,,-18.5,60.0,49.5,,14.3,5.1
D,121,2022-08-23,09:50:00,台北標準時間,-18.4,,-18.4,60.0,49.4,,14.3,5.1
D,121,2022-08-23,09:51:00,台北標準時間,-19.2,,-19.2,60.0,48.9,,14.3,5.2
D,121,2022-08-23,09:52:00,台北標準時間,-19.7,,-19.7,60.0,49.2,,14.1,4.6
D,121,2022-08-23,09:53:00,台北標準時間,-20.2,,-20.2,60.0,49.3,,14.2,4.6
D,121,2022-08-23,09:54:00,台北標準時間,-20.4,,-20.4,60.0,49.1,,14.3,4.9
D,121,2022-08-23,09:55:00,台北標準時間,-20.2,,-20.2,60.0,49.2,,13.8,4.6
D,121,2022-08-23,09:56:00,台北標準時間,-20.0,,-20.0,60.0,48.8,,14.7,5.0
D,121,2022-08-23,09:57:00,台北標準時間,-19.2,,-19.2,60.0,49.6,,14.2,4.5
D,121,2022-08-23,09:58:00,台北標準時間,-18.8,,-18.8,60.0,49.4,,14.2,4.6
D,121,2022-08-23,09:59:00,台北標準時間,-18.6,,-18.6,60.0,49.6,,14.3,4.8
D,121,2022-08-23,10:00:00,台北標準時間,-18.5,,-18.5,60.0,49.5,,14.2,4.6
D,121,2022-08-23,10:01:00,台北標準時間,-18.5,,-18.5,60.0,49.6,,14.4,4.8
D,121,2022-08-23,10:02:00,台北標準時間,-18.3,,-18.3,60.0,49.5,,14.2,5.0
D,121,2022-08-23,10:03:00,台北標準時間,-18.4,,-18.4,60.0,49.5,,14.2,4.4
D,121,2022-08-23,10:04:00,台北標準時間,-18.3,,-18.3,60.0,49.6,,14.4,4.7
D,121,2022-08-23,10:05:00,台北標準時間,-18.2,,-18.2,60.0,49.7,,14.3,5.3
D,121,2022-08-23,10:06:00,台北標準時間,-18.2,,-18.2,60.0,49.3,,14.3,4.6
D,121,2022-08-23,10:07:00,台北標準時間,-18.2,,-18.2,60.0,49.7,,14.2,4.8
D,121,2022-08-23,10:08:00,台北標準時間,-18.2,,-18.2,60.0,49.7,,14.3,5.1
D,121,2022-08-23,10:09:00,台北標準時間,-18.1,,-18.1,60.0,49.9,,14.2,4.6
D,121,2022-08-23,10:10:00,台北標準時間,-18.1,,-18.1,60.0,49.7,,14.3,4.8
D,121,2022-08-23,10:11:00,台北標準時間,-18.1,,-18.1,60.0,49.7,,14.3,4.6
D,121,2022-08-23,10:12:00,台北標準時間,-18.0,,-18.0,60.0,49.7,,14.3,5.0
D,121,2022-08-23,10:13:00,台北標準時間,-18.0,,-18.0,60.0,49.5,,14.3,5.3
D,121,2022-08-23,10:14:00,台北標準時間,-18.1,,-18.1,60.0,49.8,,14.2,4.5
D,121,2022-08-23,10:15:00,台北標準時間,-18.0,,-18.0,60.0,49.6,,14.0,4.6
D,121,2022-08-23,10:16:00,台北標準時間,-17.9,,-17.9,60.0,50.3,,14.3,5.2
D,121,2022-08-23,10:17:00,台北標準時間,-17.7,,-17.7,60.0,49.6,,14.3,4.9
D,121,2022-08-23,10:18:00,台北標準時間,-17.6,,-17.6,60.0,49.9,,14.3,5.1
D,121,2022-08-23,10:19:00,台北標準時間,-17.6,,-17.6,60.0,50.0,,13.9,4.6
D,121,2022-08-23,10:20:00,台北標準時間,-36.2,,-36.2,100.0,64.8,,14.4,5.4
D,121,2022-08-23,10:21:00,台北標準時間,-47.4,,-47.4,100.0,89.0,,12.4,2.6
D,121,2022-08-23,10:22:00,台北標準時間,-47.5,,-47.5,100.0,89.1,,12.3,2.6
D,121,2022-08-23,10:23:00,台北標準時間,-47.3,,-47.3,100.0,88.6,,12.2,2.5
D,121,2022-08-23,10:24:00,台北標準時間,-47.3,,-47.3,100.0,89.3,,12.2,2.6
D,121,2022-08-23,10:25:00,台北標準時間,-47.2,,-47.2,100.0,89.3,,12.2,2.9
D,121,2022-08-23,10:26:00,台北標準時間,-47.2,,-47.2,100.0,89.6,,12.2,2.8
D,121,2022-08-23,10:27:00,台北標準時間,-47.2,,-47.2,100.0,89.2,,12.2,2.5
D,121,2022-08-23,10:28:00,台北標準時間,-47.1,,-47.1,100.0,89.6,,12.3,2.9
