B_BLNO,121,,,,8,8,8,8,8,8,8,8
B_PERD,121,,,,60,60,60,60,60,60,60,60
B_SMPL,121,,,,2880,2880,2880,2880,2880,2880,2880,2880
B_TYPE,121,,,,R,R,R,R,R,R,R,R
P_ITEM,121,,,,37VJ623-PI.PV,,37VD440-PC.PV,37VD440-PC.MV,37VD440-CUR.PV,,37VJ444-ZT01.PV,37VJ445-ZT02.PV
P_CMNT,121,,,,#4透平機自由側壓力,,#4透平機負壓,#4透平機負壓,#4透平機主馬達電流,,#4真空泵電機側振動,#4真空泵自由側振動
P_DPLO,121,,,,-100.0,,-100.0,0.0,0.0,,0.0,0.0
P_DPHI,121,,,,0.0,,100.0,100.0,100.0,,200.0,200.0
P_DPDP,121,,,,1,,1,1,1,,1,1
P_EUNT,121,,,,kPa,,kPa,%,%,,um,um
P_TYPE,121,,,,Analog,,Analog,Analog,Analog,,Analog,Analog
G_STAT,121,,,,Gather,Gather,Gather,Gather,Gather,Gather,Gather,Gather
G_DNUM,121,,,,2880,2880,2880,2880,2880,2880,2880,2880
D,121,2022-08-23,06:08:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.3,2.4
D,121,2022-08-23,06:09:00,台北標準時間,-50.3,,-50.3,100.0,75.9,,12.3,2.5
D,121,2022-08-23,06:10:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.4,2.6
D,121,2022-08-23,06:11:00,台北標準時間,-50.3,,-50.3,100.0,76.2,,12.3,2.5
D,121,2022-08-23,06:12:00,台北標準時間,-50.3,,-50.3,100.0,75.9,,12.3,2.5
D,121,2022-08-23,06:13:00,台北標準時間,-50.3,,-50.3,100.0,75.9,,12.3,2.7
D,121,2022-08-23,06:14:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.3,2.5
D,121,2022-08-23,06:15:00,台北標準時間,-50.3,,-50.3,100.0,75.9,,12.3,2.8
D,121,2022-08-23,06:16:00,台北標準時間,-50.3,,-50.3,100.0,76.1,,12.3,2.6
D,121,2022-08-23,06:17:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.3,2.8
D,121,2022-08-23,06:18:00,台北標準時間,-50.3,,-50.3,100.0,76.2,,12.3,2.5
D,121,2022-08-23,06:19:00,台北標準時間,-50.3,,-50.3,100.0,76.3,,12.3,2.5
D,121,2022-08-23,06:20:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.3,2.6
D,121,2022-08-23,06:21:00,台北標準時間,-50.3,,-50.3,100.0,75.6,,12.3,2.5
D,121,2022-08-23,06:22:00,台北標準時間,-50.3,,-50.3,100.0,75.7,,12.4,2.6
D,121,2022-08-23,06:23:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.3,2.8
D,121,2022-08-23,06:24:00,台北標準時間,-50.3,,-50.3,100.0,75.5,,12.3,2.5
D,121,2022-08-23,06:25:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.2,2.5
D,121,2022-08-23,06:26:00,台北標準時間,-50.3,,-50.3,100.0,75.7,,12.3,3.0
D,121,2022-08-23,06:27:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.2,2.9
D,121,2022-08-23,06:28:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.3,2.6
D,121,2022-08-23,06:29:00,台北標準時間,-50.3,,-50.3,100.0,76.0,,12.3,2.9
D,121,2022-08-23,06:30:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.4,2.6
D,121,2022-08-23,06:31:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.3,2.4
D,121,2022-08-23,06:32:00,台北標準時間,-50.3,,-50.3,100.0,75.7,,12.4,2.6
D,121,2022-08-23,06:33:00,台北標準時間,-50.2,,-50.2,100.0,75.7,,12.4,2.4
D,121,2022-08-23,06:34:00,台北標準時間,-50.3,,-50.3,100.0,76.1,,12.3,2.5
D,121,2022-08-23,06:35:00,台北標準時間,-50.3,,-50.3,100.0,76.1,,12.4,2.5
D,121,2022-08-23,06:36:00,台北標準時間,-50.3,,-50.3,100.0,75.8,,12.3,2.6
D,121,2022-08-23,06:37:00,台北標準時間,-50.3,,-50.3,100.0,75.9,,12.4,2.9
